代號,名稱,年月,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
111,澳盛(台灣)銀,2013/06,320599.0,,,,,7141.0,17691.0,3616.0,40333.0
111,澳盛(台灣)銀,2013/09,341343.0,,,,,3327.0,17894.0,4315.0,39518.0
111,澳盛(台灣)銀,2013/12,327819.0,,,,,2859.0,18550.0,4875.0,39917.0
111,澳盛(台灣)銀,2014/03,291519.0,,,,,165315.0,17471.0,3870.0,43971.0
111,澳盛(台灣)銀,2014/06,302600.0,,,,,155858.0,17626.0,3612.0,39995.0
111,澳盛(台灣)銀,2014/09,267590.0,,,,,169626.0,17595.0,3328.0,38351.0
111,澳盛(台灣)銀,2014/12,342925.0,,,,,160579.0,16858.0,2912.0,38988.0
111,澳盛(台灣)銀,2015/03,298340.0,,,,,160087.0,14905.0,2949.0,38641.0
111,澳盛(台灣)銀,2015/06,268543.0,,,,,130540.0,13839.0,2151.0,38188.0
111,澳盛(台灣)銀,2015/09,307654.0,,,,,149829.0,14404.0,1849.0,34645.0
111,澳盛(台灣)銀,2015/12,331392.0,,,,,143821.0,13997.0,1189.0,35476.0
111,澳盛(台灣)銀,2016/03,267659.0,,,,,130604.0,12025.0,1443.0,33463.0
111,澳盛(台灣)銀,2016/06,236278.0,122195.0,11011.0,1060.0,32052.0,,,,
111,澳盛(台灣)銀,2016/09,226219.0,107801.0,9782.0,1088.0,31893.0,,,,
111,澳盛(台灣)銀,2016/12,212790.0,106543.0,9758.0,1176.0,31903.0,,,,
111,澳盛(台灣)銀,2017/03,184042.0,89910.0,8661.0,1088.0,32425.0,,,,
111,澳盛(台灣)銀,2017/06,185833.0,73044.0,8324.0,868.0,33543.0,,,,
111,澳盛(台灣)銀,2017/09,181310.0,65227.0,7028.0,668.0,35224.0,,,,
111,澳盛(台灣)銀,2017/12,125675.0,42968.0,7730.0,618.0,133.0,,,,
111,澳盛(台灣)銀,2018/03,140226.0,42085.0,6608.0,915.0,120.0,,,,
111,澳盛(台灣)銀,2018/06,135903.0,45102.0,8811.0,538.0,,,,,
111,澳盛(台灣)銀,2018/09,130530.0,50795.0,14019.0,408.0,,,,,
111,澳盛(台灣)銀,2018/12,137864.0,60982.0,16353.0,534.0,,,,,
111,澳盛(台灣)銀,2019/03,135009.0,65571.0,15972.0,281.0,,,,,
999,慶豐商業銀行,2002/12,148304.0,,,,,,2774.0,,2078.0
999,慶豐商業銀行,2003/03,148833.0,,,,,,2755.0,723.0,2424.0
999,慶豐商業銀行,2003/06,146339.0,,,,,,2366.0,1182.0,2631.0
999,慶豐商業銀行,2003/09,147433.0,,,,,,1943.0,1534.0,2992.0
999,慶豐商業銀行,2003/12,149926.0,,,,,,1995.0,1152.0,3133.0
999,慶豐商業銀行,2004/03,150351.0,,,,,,2106.0,1019.0,3424.0
999,慶豐商業銀行,2004/06,154578.0,,,,,,1949.0,1035.0,3516.0
999,慶豐商業銀行,2004/09,152604.0,,,,,,1686.0,1076.0,3255.0
999,慶豐商業銀行,2004/12,151620.0,,,,,5653.0,1391.0,1146.0,3210.0
999,慶豐商業銀行,2005/03,156697.0,,,,,3955.0,1282.0,1199.0,3277.0
999,慶豐商業銀行,2005/06,157062.0,,,,,4264.0,1340.0,1127.0,3307.0
999,慶豐商業銀行,2005/09,154369.0,,,,,6637.0,1468.0,792.0,3615.0
999,慶豐商業銀行,2005/12,155497.0,,,,,6507.0,1346.0,793.0,3887.0
999,慶豐商業銀行,2006/03,149618.0,,,,,5678.0,1225.0,764.0,4454.0
999,慶豐商業銀行,2006/06,147378.0,,,,,5333.0,1110.0,1145.0,4734.0
999,慶豐商業銀行,2006/09,149074.0,,,,,5292.0,917.0,662.0,5115.0
999,慶豐商業銀行,2006/12,145939.0,,,,,7293.0,940.0,586.0,5608.0
999,慶豐商業銀行,2007/03,128826.0,,,,,5798.0,802.0,946.0,5115.0
999,慶豐商業銀行,2007/06,119456.0,,,,,7739.0,729.0,707.0,5038.0
999,慶豐商業銀行,2007/09,108605.0,,,,,5497.0,644.0,537.0,5200.0
999,慶豐商業銀行,2007/12,97595.0,,,,,3874.0,803.0,806.0,4495.0
999,慶豐商業銀行,2008/03,92320.0,,,,,3771.0,747.0,434.0,4004.0
999,慶豐商業銀行,2008/06,84617.0,,,,,1962.0,516.0,486.0,3446.0
999,慶豐商業銀行,2008/09,81776.0,,,,,1920.0,334.0,401.0,2886.0
999,慶豐商業銀行,2008/12,73082.0,,,,,1651.0,281.0,42.0,2596.0
999,慶豐商業銀行,2009/03,73427.0,,,,,1515.0,240.0,236.0,2448.0
999,慶豐商業銀行,2009/06,54746.0,,,,,956.0,225.0,270.0,2443.0
999,慶豐商業銀行,2009/09,51316.0,,,,,923.0,122.0,161.0,2415.0
999,慶豐商業銀行,2009/12,47109.0,,,,,278.0,117.0,50.0,2200.0
999,慶豐商業銀行,2010/03,39161.0,,,,,256.0,94.0,10.0,1933.0
2801,彰化商業銀行,2002/12,1215828.0,,,,,20738.0,31668.0,19091.0,22719.0
2801,彰化商業銀行,2003/03,1203501.0,,,,,21524.0,31117.0,23421.0,26740.0
2801,彰化商業銀行,2003/06,1238929.0,,,,,22019.0,31324.0,18915.0,31555.0
2801,彰化商業銀行,2003/09,1255743.0,,,,,26080.0,33242.0,22529.0,34655.0
2801,彰化商業銀行,2003/12,1346448.0,,,,,26996.0,33434.0,27348.0,43066.0
2801,彰化商業銀行,2004/03,1309730.0,,,,,28226.0,33817.0,29924.0,43753.0
2801,彰化商業銀行,2004/06,1343012.0,,,,,29898.0,33313.0,33434.0,47613.0
2801,彰化商業銀行,2004/09,1301587.0,,,,,40942.0,32428.0,35844.0,42094.0
2801,彰化商業銀行,2004/12,1322106.0,,,,,51635.0,32076.0,34320.0,46491.0
2801,彰化商業銀行,2005/03,1274229.0,,,,,50872.0,32716.0,35691.0,48757.0
2801,彰化商業銀行,2005/06,1267756.0,,,,,52485.0,34388.0,31919.0,50832.0
2801,彰化商業銀行,2005/09,1274017.0,,,,,69680.0,36610.0,33712.0,52583.0
2801,彰化商業銀行,2005/12,1333875.0,,,,,77986.0,37704.0,29764.0,53432.0
2801,彰化商業銀行,2006/03,1338592.0,,,,,79024.0,35518.0,31373.0,55202.0
2801,彰化商業銀行,2006/06,1313855.0,,,,,135281.0,36320.0,30905.0,61051.0
2801,彰化商業銀行,2006/09,1352087.0,,,,,151227.0,35601.0,30853.0,64318.0
2801,彰化商業銀行,2006/12,1366415.0,,,,,136009.0,35434.0,28094.0,68896.0
2801,彰化商業銀行,2007/03,1358125.0,,,,,142197.0,34379.0,30943.0,75430.0
2801,彰化商業銀行,2007/06,1357443.0,,,,,167229.0,34152.0,29821.0,87438.0
2801,彰化商業銀行,2007/09,1342851.0,,,,,168598.0,33307.0,28907.0,95402.0
2801,彰化商業銀行,2007/12,1326534.0,,,,,162926.0,32437.0,30034.0,103552.0
2801,彰化商業銀行,2008/03,1317402.0,,,,,185639.0,30051.0,33223.0,279068.0
2801,彰化商業銀行,2008/06,1314445.0,,,,,214037.0,30192.0,30871.0,281037.0
2801,彰化商業銀行,2008/09,1390344.0,,,,,219556.0,29033.0,23229.0,243053.0
2801,彰化商業銀行,2008/12,1411424.0,,,,,210483.0,29974.0,19375.0,224995.0
2801,彰化商業銀行,2009/03,1420375.0,,,,,290435.0,29454.0,19229.0,236926.0
2801,彰化商業銀行,2009/06,1441536.0,,,,,295877.0,28801.0,22188.0,246407.0
2801,彰化商業銀行,2009/09,1460299.0,,,,,312012.0,27900.0,24526.0,264146.0
2801,彰化商業銀行,2009/12,1489234.0,,,,,412479.0,32310.0,26578.0,271702.0
2801,彰化商業銀行,2010/03,1447097.0,,,,,433833.0,31951.0,28954.0,268207.0
2801,彰化商業銀行,2010/06,1473326.0,,,,,409838.0,32050.0,32250.0,263604.0
2801,彰化商業銀行,2010/09,1482100.0,,,,,421855.0,32220.0,28929.0,265830.0
2801,彰化商業銀行,2010/12,1531188.0,,,,,470470.0,31270.0,29094.0,264972.0
2801,彰化商業銀行,2011/03,1517587.0,,,,,615622.0,31364.0,33102.0,256003.0
2801,彰化商業銀行,2011/06,1547942.0,,,,,503284.0,29810.0,27583.0,262672.0
2801,彰化商業銀行,2011/09,1577977.0,,,,,475626.0,30198.0,28375.0,260370.0
2801,彰化商業銀行,2011/12,1599953.0,,,,,238463.0,30497.0,25200.0,250085.0
2801,彰化商業銀行,2012/03,1615446.0,,,,,186887.0,30310.0,28874.0,246039.0
2801,彰化商業銀行,2012/06,1606998.0,,,,,202972.0,29662.0,28366.0,245278.0
2801,彰化商業銀行,2012/09,1618167.0,,,,,167513.0,28770.0,24565.0,253758.0
2801,彰化商業銀行,2012/12,1632038.0,,,,,159693.0,29639.0,23172.0,260916.0
2801,彰化商業銀行,2013/03,1630572.0,,,,,161647.0,28496.0,26685.0,271596.0
2801,彰化商業銀行,2013/06,1683479.0,,,,,145848.0,27990.0,22436.0,259999.0
2801,彰化商業銀行,2013/09,1678083.0,,,,,133477.0,27420.0,22477.0,250579.0
2801,彰化商業銀行,2013/12,1719741.0,,,,,136683.0,28761.0,24074.0,247962.0
2801,彰化商業銀行,2014/03,1774080.0,,,,,759243.0,28833.0,26912.0,251432.0
2801,彰化商業銀行,2014/06,1787593.0,,,,,771183.0,28943.0,26733.0,255373.0
2801,彰化商業銀行,2014/09,1807631.0,,,,,770051.0,31162.0,26219.0,258198.0
2801,彰化商業銀行,2014/12,1842801.0,,,,,613259.0,31530.0,25944.0,253009.0
2801,彰化商業銀行,2015/03,1978688.0,,,,,706118.0,32238.0,23055.0,252297.0
2801,彰化商業銀行,2015/06,1864773.0,,,,,740485.0,33316.0,21798.0,262080.0
2801,彰化商業銀行,2015/09,1931312.0,,,,,718926.0,35167.0,20555.0,253182.0
2801,彰化商業銀行,2015/12,1951980.0,,,,,766356.0,34839.0,17841.0,261132.0
2801,彰化商業銀行,2016/03,1992563.0,,,,,726067.0,34976.0,21625.0,255867.0
2801,彰化商業銀行,2016/06,1955677.0,626615.0,39342.0,22502.0,253113.0,,,,
2801,彰化商業銀行,2016/09,1981147.0,631712.0,43023.0,20166.0,247490.0,,,,
2801,彰化商業銀行,2016/12,2044675.0,673395.0,44627.0,23053.0,249231.0,,,,
2801,彰化商業銀行,2017/03,2005337.0,646151.0,45313.0,24170.0,249612.0,,,,
2801,彰化商業銀行,2017/06,2008096.0,631282.0,40626.0,23384.0,252555.0,,,,
2801,彰化商業銀行,2017/09,2024561.0,627463.0,41784.0,27809.0,264233.0,,,,
2801,彰化商業銀行,2017/12,2035394.0,669190.0,40994.0,24509.0,268673.0,,,,
2801,彰化商業銀行,2018/03,2066118.0,632621.0,44369.0,25092.0,271267.0,,,,
2801,彰化商業銀行,2018/06,2094612.0,692054.0,41167.0,24192.0,277248.0,,,,
2801,彰化商業銀行,2018/09,2084513.0,651845.0,47002.0,27583.0,276080.0,,,,
2801,彰化商業銀行,2018/12,2070629.0,685953.0,45848.0,23321.0,273725.0,,,,
2801,彰化商業銀行,2019/03,2074866.0,690801.0,46211.0,25299.0,281535.0,,,,
2801,彰化商業銀行,2019/06,2113360.0,683153.0,50587.0,26614.0,314884.0,,,,
2801,彰化商業銀行,2019/09,2119519.0,609477.0,50473.0,25690.0,348187.0,,,,
2801,彰化商業銀行,2019/12,2125978.0,659164.0,52824.0,21515.0,363433.0,,,,
2801,彰化商業銀行,2020/03,2185282.0,702725.0,57278.0,22065.0,392113.0,,,,
2801,彰化商業銀行,2020/06,2201052.0,642157.0,59791.0,20482.0,380377.0,,,,
2801,彰化商業銀行,2020/09,2215003.0,656451.0,59939.0,20739.0,380229.0,,,,
2801,彰化商業銀行,2020/12,2303463.0,766901.0,58294.0,22392.0,377590.0,,,,
2801,彰化商業銀行,2021/03,2397598.0,673674.0,59791.0,24176.0,391399.0,,,,
2801,彰化商業銀行,2021/06,2407540.0,627837.0,55990.0,27835.0,399530.0,,,,
2801,彰化商業銀行,2021/09,2430469.0,643671.0,57072.0,26986.0,403672.0,,,,
2801,彰化商業銀行,2021/12,2540034.0,716789.0,57008.0,27111.0,410135.0,,,,
2801,彰化商業銀行,2022/03,2629341.0,703944.0,64530.0,35385.0,434371.0,,,,
2801,彰化商業銀行,2022/06,2638933.0,707563.0,64259.0,31982.0,438350.0,,,,
2801,彰化商業銀行,2022/09,2727494.0,711432.0,60088.0,28472.0,452204.0,,,,
2801,彰化商業銀行,2022/12,2669495.0,801102.0,55099.0,20023.0,437291.0,,,,
2801,彰化商業銀行,2023/03,2727780.0,753780.0,55878.0,27945.0,448992.0,,,,
2801,彰化商業銀行,2023/06,2695703.0,724896.0,58627.0,20689.0,462351.0,,,,
2801,彰化商業銀行,2023/09,2768553.0,791713.0,58602.0,23796.0,489316.0,,,,
2807,新竹國際商銀,2002/12,309275.0,,,,,75.0,11219.0,1144.0,6844.0
2807,新竹國際商銀,2003/03,317568.0,,,,,259.0,9310.0,1856.0,7805.0
2807,新竹國際商銀,2003/06,326144.0,,,,,211.0,11155.0,1822.0,14057.0
2807,新竹國際商銀,2003/09,325896.0,,,,,193.0,10990.0,2481.0,14991.0
2807,新竹國際商銀,2003/12,335041.0,,,,,72193.0,9811.0,2890.0,18136.0
2807,新竹國際商銀,2004/03,375237.0,,,,,76932.0,8471.0,3665.0,20480.0
2807,新竹國際商銀,2004/06,373167.0,,,,,87008.0,7967.0,3030.0,22675.0
2807,新竹國際商銀,2004/09,384341.0,,,,,82415.0,8082.0,2573.0,23184.0
2807,新竹國際商銀,2004/12,395737.0,,,,,90409.0,7406.0,2261.0,22856.0
2807,新竹國際商銀,2005/03,401429.0,,,,,81104.0,7325.0,2419.0,22761.0
2807,新竹國際商銀,2005/06,398296.0,,,,,81594.0,6637.0,2887.0,23380.0
2807,新竹國際商銀,2005/09,401472.0,,,,,78820.0,7926.0,2916.0,27825.0
2807,新竹國際商銀,2005/12,402730.0,,,,,76039.0,8486.0,2271.0,34358.0
2807,新竹國際商銀,2006/03,401876.0,,,,,77093.0,8656.0,2261.0,43189.0
2807,新竹國際商銀,2006/06,418889.0,,,,,71529.0,9017.0,2276.0,50452.0
2807,新竹國際商銀,2006/09,429815.0,,,,,84567.0,9196.0,2159.0,61311.0
2807,新竹國際商銀,2006/12,430615.0,,,,,80948.0,8478.0,1983.0,76590.0
2807,新竹國際商銀,2007/03,421491.0,,,,,78187.0,9149.0,2846.0,90024.0
2807,新竹國際商銀,2007/06,554825.0,,,,,80816.0,20025.0,8294.0,148946.0
2807,渣打國際商銀,2007/09,513004.0,,,,,42016.0,19223.0,7156.0,167281.0
2807,渣打國際商銀,2007/12,486452.0,,,,,107370.0,17234.0,6968.0,177087.0
2807,渣打國際商銀,2008/03,514464.0,,,,,68547.0,15041.0,8253.0,168650.0
2807,渣打國際商銀,2008/06,507512.0,,,,,62905.0,14849.0,9715.0,167735.0
2807,渣打國際商銀,2008/09,542130.0,,,,,42569.0,14145.0,10174.0,161705.0
2807,渣打國際商銀,2008/12,642407.0,,,,,17632.0,13492.0,2186.0,136409.0
2807,渣打國際商銀,2009/03,672360.0,,,,,17808.0,12342.0,1974.0,124938.0
2807,渣打國際商銀,2009/06,616700.0,,,,,14513.0,12397.0,2746.0,129388.0
2807,渣打國際商銀,2009/09,604054.0,,,,,14545.0,10628.0,2728.0,126836.0
2807,渣打國際商銀,2009/12,616643.0,,,,,16879.0,8591.0,2789.0,141883.0
2807,渣打國際商銀,2010/03,630718.0,,,,,19215.0,7773.0,2971.0,140341.0
2807,渣打國際商銀,2010/06,639452.0,,,,,17464.0,7951.0,4645.0,145874.0
2807,渣打國際商銀,2010/09,652190.0,,,,,17105.0,7456.0,3645.0,137777.0
2807,渣打國際商銀,2010/12,702747.0,,,,,17386.0,6986.0,4537.0,143491.0
2807,渣打國際商銀,2011/03,714396.0,,,,,18471.0,7297.0,4247.0,132215.0
2807,渣打國際商銀,2011/06,741900.0,,,,,18075.0,6493.0,2653.0,132994.0
2807,渣打國際商銀,2011/09,737761.0,,,,,18394.0,6453.0,2183.0,137835.0
2807,渣打國際商銀,2011/12,743855.0,,,,,20693.0,9390.0,2291.0,131949.0
2807,渣打國際商銀,2012/03,757268.0,,,,,19837.0,8523.0,2372.0,126862.0
2807,渣打國際商銀,2012/06,719965.0,,,,,2202.0,7523.0,2115.0,128713.0
2807,渣打國際商銀,2012/09,723632.0,,,,,2483.0,7063.0,1749.0,123993.0
2807,渣打國際商銀,2012/12,735931.0,,,,,2177.0,7067.0,1879.0,112574.0
2807,渣打國際商銀,2013/03,758936.0,,,,,1809.0,7367.0,1883.0,111576.0
2807,渣打國際商銀,2013/06,712948.0,,,,,1492.0,7139.0,2127.0,100311.0
2807,渣打國際商銀,2013/09,755883.0,,,,,3429.0,7221.0,2720.0,100487.0
2807,渣打國際商銀,2013/12,757732.0,,,,,3927.0,7194.0,2167.0,101736.0
2807,渣打國際商銀,2014/03,772629.0,,,,,178342.0,7340.0,2336.0,102237.0
2807,渣打國際商銀,2014/06,716568.0,,,,,148643.0,6957.0,1903.0,101508.0
2807,渣打國際商銀,2014/09,726406.0,,,,,143633.0,7058.0,2077.0,100096.0
2807,渣打國際商銀,2014/12,770829.0,,,,,142807.0,6903.0,2401.0,100017.0
2807,渣打國際商銀,2015/03,728905.0,,,,,147951.0,6586.0,1727.0,97843.0
2807,渣打國際商銀,2015/06,713725.0,,,,,141399.0,6614.0,1733.0,95459.0
2807,渣打國際商銀,2015/09,731370.0,,,,,153748.0,2644.0,1358.0,87475.0
2807,渣打國際商銀,2015/12,669135.0,,,,,144565.0,2809.0,1155.0,89734.0
2807,渣打國際商銀,2016/03,656091.0,,,,,155758.0,2762.0,1357.0,88521.0
2807,渣打國際商銀,2016/06,624395.0,138485.0,2960.0,1137.0,88194.0,,,,
2807,渣打國際商銀,2016/09,612295.0,132194.0,2823.0,714.0,89401.0,,,,
2807,渣打國際商銀,2016/12,616552.0,133908.0,2713.0,887.0,89152.0,,,,
2807,渣打國際商銀,2017/03,611725.0,129228.0,3390.0,1146.0,88073.0,,,,
2807,渣打國際商銀,2017/06,621715.0,126742.0,2984.0,1634.0,89753.0,,,,
2807,渣打國際商銀,2017/09,629149.0,121411.0,2861.0,1150.0,92578.0,,,,
2807,渣打國際商銀,2017/12,649913.0,113690.0,3272.0,1797.0,94425.0,,,,
2807,渣打國際商銀,2018/03,629576.0,107061.0,2870.0,1947.0,90913.0,,,,
2807,渣打國際商銀,2018/06,607672.0,125625.0,3193.0,2002.0,92046.0,,,,
2807,渣打國際商銀,2018/09,624419.0,87867.0,3614.0,1936.0,94417.0,,,,
2807,渣打國際商銀,2018/12,626583.0,103756.0,4351.0,782.0,89390.0,,,,
2807,渣打國際商銀,2019/03,658123.0,118358.0,4054.0,2169.0,97203.0,,,,
2807,渣打國際商銀,2019/06,641865.0,112535.0,3455.0,1774.0,99770.0,,,,
2807,渣打國際商銀,2019/09,634363.0,119527.0,3338.0,2072.0,102124.0,,,,
2807,渣打國際商銀,2019/12,621673.0,125134.0,3715.0,1500.0,102531.0,,,,
2807,渣打國際商銀,2020/03,675422.0,125613.0,4153.0,1097.0,80090.0,,,,
2807,渣打國際商銀,2020/06,654560.0,123494.0,3450.0,908.0,96631.0,,,,
2807,渣打國際商銀,2020/09,673436.0,115806.0,3632.0,855.0,102053.0,,,,
2807,渣打國際商銀,2020/12,715773.0,114456.0,3673.0,950.0,106201.0,,,,
2807,渣打國際商銀,2021/03,682708.0,113294.0,4476.0,1053.0,114034.0,,,,
2807,渣打國際商銀,2021/06,667344.0,113963.0,5122.0,973.0,116605.0,,,,
2807,渣打國際商銀,2021/09,667005.0,121184.0,6335.0,1002.0,112616.0,,,,
2807,渣打國際商銀,2021/12,671394.0,118978.0,6959.0,714.0,112190.0,,,,
2807,渣打國際商銀,2022/03,696970.0,131679.0,7866.0,938.0,111196.0,,,,
2807,渣打國際商銀,2022/06,709535.0,139390.0,6899.0,533.0,101130.0,,,,
2807,渣打國際商銀,2022/09,801113.0,147511.0,7142.0,380.0,102585.0,,,,
2807,渣打國際商銀,2022/12,708765.0,147960.0,7118.0,580.0,104527.0,,,,
2807,渣打國際商銀,2023/03,702088.0,150111.0,8168.0,1109.0,111574.0,,,,
2807,渣打國際商銀,2023/06,720584.0,161337.0,7172.0,636.0,117395.0,,,,
2807,渣打國際商銀,2023/09,758111.0,158869.0,7342.0,709.0,121198.0,,,,
2809,台南中小企銀,2004/03,133480.0,,,,,,2483.0,435.0,3712.0
2809,台南中小企銀,2004/06,134336.0,,,,,,3108.0,536.0,4141.0
2809,台南中小企銀,2004/09,136063.0,,,,,,3265.0,499.0,4724.0
