時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,107934,,,,,12310,1336,189,3462
93/3,71599,,,,,,878,101,325
110/12,186415,16193,1367,113,5208,,,,
103/9,136605,,,,,21922,2033,198,5147
93/12,79960,,,,,19088,1477,40,398
104/3,140617,,,,,19468,1836,119,5001
105/12,153688,19876,2430,163,4558,,,,
98/3,106322,,,,,11749,1215,507,2837
103/6,134686,,,,,15220,1954,170,5250
94/12,90454,,,,,9360,1081,408,568
105/9,149746,20654,1523,159,4692,,,,
97/9,106771,,,,,12920,1119,276,3230
103/3,132874,,,,,14632,2025,228,4893
98/6,106438,,,,,12483,1237,183,3127
100/6,119901,,,,,12601,2265,242,4813
109/9,175641,15748,2168,57,5918,,,,
106/12,159693,18762,2333,147,4633,,,,
100/3,116897,,,,,11683,1919,226,4446
109/3,169462,14634,2180,86,5898,,,,
103/12,139633,,,,,18093,2131,178,5047
107/9,163821,16144,2156,129,4949,,,,
95/9,103855,,,,,11203,618,432,1136
109/6,170323,16510,2191,85,5824,,,,
108/12,170074,15317,2136,90,5494,,,,
100/9,121096,,,,,12668,2522,274,4648
108/6,171491,14960,2164,108,5161,,,,
108/3,167847,15836,1944,184,5294,,,,
97/3,103376,,,,,10586,1144,337,3890
105/3,146623,,,,,19022,1411,127,4740
96/12,103575,,,,,9435,1053,564,3732
108/9,171516,14397,2176,60,5382,,,,
107/12,165266,16684,2047,134,5181,,,,
107/6,161514,16871,2231,126,4854,,,,
95/6,100338,,,,,11637,623,142,1000
95/12,108028,,,,,12650,734,195,1301
99/6,111338,,,,,9297,1887,154,4339
102/3,126008,,,,,10921,2353,208,4737
102/6,128619,,,,,11048,2288,174,4788
99/12,116071,,,,,10232,1938,161,4386
99/3,110323,,,,,10401,1785,215,4483
104/12,147581,,,,,18416,1410,177,4796
102/9,129682,,,,,11103,2169,154,4917
105/6,146434,20867,1534,159,4791,,,,
97/6,105000,,,,,14134,1110,248,3844
95/3,98100,,,,,6124,657,201,743
107/3,159062,17799,2386,125,4692,,,,
99/9,113180,,,,,10741,1815,203,4155
109/12,179930,15780,2214,83,5447,,,,
101/9,123493,,,,,11315,2474,148,4767
100/12,121894,,,,,10125,2582,223,4524
104/9,143490,,,,,18535,1583,132,4870
96/9,103740,,,,,10082,1023,305,3124
102/12,132064,,,,,11321,2136,246,4736
106/9,157071,18954,2357,172,4399,,,,
94/9,86798,,,,,9193,1098,225,554
110/9,182336,15592,2126,72,5000,,,,
110/6,181397,15690,2180,55,6026,,,,
111/12,187997,17907,1552,62,6514,,,,
110/3,180778,15614,2195,142,5116,,,,
111/3,187813,17692,1348,120,5798,,,,
96/3,106020,,,,,9949,736,257,1835
111/6,186822,22836,1440,99,5734,,,,
106/6,158331,18288,2348,151,4542,,,,
94/6,86082,,,,,16943,1315,154,550
101/3,120476,,,,,12321,2560,148,4559
111/9,185608,20237,1437,82,6089,,,,
98/12,109453,,,,,11567,1676,206,3835
97/12,106616,,,,,10179,1251,145,2684
112/9,194339,16392,1519,96,7401,,,,
104/6,141122,,,,,18716,1711,181,4983
96/6,104573,,,,,10520,791,227,2739
101/6,120755,,,,,10560,2516,296,4723
94/3,82197,,,,,13576,1673,97,516
106/3,155147,18523,2272,241,4690,,,,
112/3,186895,18192,1590,74,6930,,,,
101/12,126728,,,,,11926,2529,214,4586
112/6,190911,18368,1641,38,7311,,,,
