時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,617727,,,,,17944,32687,8659,94683
93/3,404081,,,,,4937,26146,11477,37931
110/12,1368576,348346,106026,8545,212199,,,,
103/9,956504,,,,,334174,44850,10396,134620
93/12,429252,,,,,5096,21613,10613,41741
104/3,1021384,,,,,336136,45062,9524,125441
105/12,1042580,313872,39528,8914,140583,,,,
98/3,618486,,,,,15480,35988,6496,74267
103/6,955831,,,,,325110,43670,11756,127115
94/12,480262,,,,,7435,27432,9611,47432
105/9,1019951,328827,39650,9333,141813,,,,
97/9,611885,,,,,16974,39995,9376,80299
103/3,961239,,,,,326137,44170,11814,124688
98/6,617583,,,,,15337,31618,8873,83939
100/6,729059,,,,,17790,38211,11493,114243
109/9,1387843,340803,93594,8921,203633,,,,
106/12,1114975,287507,43780,8100,141529,,,,
100/3,682211,,,,,20373,37323,13693,110874
109/3,1318352,328993,81680,8351,169613,,,,
103/12,985827,,,,,346679,43262,9151,133840
107/9,1178485,302915,45987,11195,148664,,,,
95/9,478294,,,,,9602,28468,12521,57762
109/6,1341688,334595,88592,9203,186898,,,,
108/12,1291074,325541,73025,7421,166654,,,,
100/9,778944,,,,,17877,39945,10985,107220
108/6,1245647,316041,61640,9673,173893,,,,
108/3,1233061,308185,56676,9367,171696,,,,
97/3,605641,,,,,15184,41204,10882,92440
105/3,1023411,,,,,356671,41415,10200,134550
96/12,601748,,,,,17201,38963,11816,79136
108/9,1266641,321934,66003,7632,169664,,,,
107/12,1192751,298198,50736,6456,164269,,,,
107/6,1144834,297857,46863,9040,148398,,,,
95/6,471177,,,,,8027,27994,11988,55057
95/12,518872,,,,,11984,30310,10898,61356
99/6,673378,,,,,19046,33085,11315,118402
102/3,864524,,,,,9820,41722,10699,126152
102/6,904969,,,,,11301,40787,9306,125260
99/12,714387,,,,,19616,31065,10306,111620
99/3,647197,,,,,18284,31561,11452,117335
104/12,1021595,,,,,334870,42417,7664,123780
102/9,907065,,,,,11115,38688,9568,123006
105/6,1030485,352430,39758,8302,142781,,,,
97/6,576113,,,,,12145,39472,12014,95415
95/3,453894,,,,,7497,27947,10784,50889
107/3,1154092,284742,46422,10206,141421,,,,
99/9,674783,,,,,18637,30884,11058,113246
109/12,1355489,346507,96113,7819,199626,,,,
101/9,798159,,,,,11831,41725,9863,108892
100/12,818239,,,,,15037,40922,9649,100158
104/9,1006431,,,,,338669,45974,9437,126699
96/9,554129,,,,,17027,39044,11645,76603
102/12,944652,,,,,12386,39540,10776,122429
106/9,1088463,288910,42877,9272,145312,,,,
94/9,441523,,,,,6254,26061,11797,46845
110/9,1360979,343761,106347,10278,204403,,,,
110/6,1350824,337394,98471,9867,208946,,,,
111/12,1503774,401739,85655,6426,204855,,,,
110/3,1346334,342827,98236,10784,209097,,,,
111/3,1400175,357987,113033,9892,214536,,,,
96/3,516112,,,,,14156,31049,11436,65604
111/6,1387928,382177,104202,9833,216203,,,,
106/6,1068625,300622,41587,9323,146625,,,,
94/6,440057,,,,,5480,25295,11293,42112
101/3,805464,,,,,12981,41131,11793,103855
111/9,1445207,410485,89477,9804,217676,,,,
98/12,664217,,,,,18982,31246,9380,110432
97/12,641554,,,,,14052,39408,7346,72208
112/9,1612010,409478,79085,7168,213335,,,,
104/6,995416,,,,,334476,43839,9037,128877
96/6,522719,,,,,15078,31511,11529,71994
101/6,796403,,,,,12139,41319,11547,106723
94/3,420138,,,,,4559,24784,11856,43184
106/3,1027641,303807,41124,9076,141251,,,,
112/3,1542379,411926,79996,7259,211577,,,,
101/12,880303,,,,,10886,41486,9498,111838
112/6,1583066,407728,78071,7630,215554,,,,
