時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,1617260,,,,,57891,40644,14305,931276
93/3,1207832,,,,,2451,77452,13361,207245
110/12,4023301,978375,71360,26717,1497690,,,,
103/9,2299242,,,,,938830,41240,14467,826729
93/12,1272997,,,,,37078,75167,15464,510582
104/3,2484829,,,,,987435,37260,15514,815933
105/12,2714125,1022860,49338,15428,762917,,,,
98/3,1588246,,,,,131318,53085,11253,892386
103/6,2264409,,,,,873999,49238,17991,828494
94/12,1538552,,,,,23829,60905,14757,619223
105/9,2703305,1004375,51320,11213,768338,,,,
97/9,1584462,,,,,140026,56363,14376,1201924
103/3,2158407,,,,,931861,70108,18328,820852
98/6,1593250,,,,,59839,48355,13012,927016
100/6,1783958,,,,,107016,32336,20186,887771
109/9,3657896,849399,70953,19452,1292839,,,,
106/12,2972783,986762,57447,20370,840802,,,,
100/3,1783296,,,,,98244,34360,21923,853464
109/3,3623601,881728,70877,17950,1210582,,,,
103/12,2389551,,,,,1026130,42329,14925,818517
107/9,3151006,821453,59841,23418,958346,,,,
95/9,1436900,,,,,33931,48818,19717,781773
109/6,3623594,825948,67653,17075,1302834,,,,
108/12,3475311,903884,67251,19218,1209684,,,,
100/9,1840029,,,,,119655,29303,18454,853262
108/6,3402929,861985,68183,24897,1166518,,,,
108/3,3325327,886234,63138,27034,1051490,,,,
97/3,1545374,,,,,151004,42721,20227,1362598
105/3,2665835,,,,,890220,41891,12578,808374
96/12,1488703,,,,,144364,43278,17895,1005274
108/9,3576902,898449,64321,21119,1137463,,,,
107/12,3170786,834107,56776,22891,1004170,,,,
107/6,3055589,818198,53025,22147,946159,,,,
95/6,1479101,,,,,43646,54684,16654,666030
95/12,1478027,,,,,52994,44439,18237,849548
99/6,1714202,,,,,96690,36244,16167,862765
102/3,1951179,,,,,154973,68103,15717,873535
102/6,2024629,,,,,156563,57670,15383,840540
99/12,1735581,,,,,105849,32982,15010,880797
99/3,1689918,,,,,73273,41013,16615,871144
104/12,2682231,,,,,914752,53727,15641,835771
102/9,2032909,,,,,131866,55971,13284,810494
105/6,2635755,885864,50912,13441,819287,,,,
97/6,1566801,,,,,140563,54435,21341,1307422
95/3,1485144,,,,,46249,56237,18035,634551
107/3,3018847,988388,53165,20216,877451,,,,
99/9,1683991,,,,,96704,36591,17394,870634
109/12,3763493,924393,75930,18967,1323320,,,,
101/9,1894703,,,,,104193,40383,16776,858164
100/12,1825319,,,,,110066,33807,15171,871354
104/9,2683880,,,,,855087,54099,16085,817444
96/9,1550281,,,,,134726,42994,19881,968749
102/12,2082055,,,,,131416,63510,16207,805858
106/9,2909678,973262,53647,21118,849490,,,,
94/9,1463037,,,,,27496,65056,15911,588179
110/9,3933881,956637,67615,21981,1471374,,,,
110/6,3874944,932383,61934,20132,1450397,,,,
111/12,4627224,1037296,68301,21802,1765889,,,,
110/3,3812641,914253,61912,23411,1376103,,,,
111/3,4096635,981196,67636,29419,1586769,,,,
96/3,1505915,,,,,156106,43243,18882,881284
111/6,4256807,984956,69395,25436,1665801,,,,
106/6,2836589,943819,55231,15665,870288,,,,
94/6,1386734,,,,,27397,71787,14523,688588
101/3,1880665,,,,,116519,41964,14189,863627
111/9,4571653,1028645,65946,22149,1752229,,,,
98/12,1646378,,,,,76497,47972,13558,938274
97/12,1588011,,,,,132690,56605,10203,1079118
112/9,4993587,1172394,69913,28191,1983085,,,,
104/6,2504405,,,,,877511,38585,16837,851762
96/6,1535777,,,,,131300,42061,19526,929280
101/6,1854912,,,,,98455,49682,14561,885843
94/3,1334203,,,,,33271,78494,14942,582015
106/3,2781147,981908,53623,14376,812587,,,,
112/3,4778307,1127738,65905,26077,1828989,,,,
101/12,1876498,,,,,105530,45659,14991,870346
112/6,4842608,1158476,65941,23445,1941815,,,,
