時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,81150,,,,,10446,5841,,
93/3,103639,,,,,7753,1575,,
110/12,151254,42719,21878,,,,,,
103/9,101847,,,,,21254,13160,,
93/12,98485,,,,,10513,2643,,
104/3,100423,,,,,23457,12614,,
105/12,111539,27188,15115,,,,,,
98/3,81601,,,,,10539,5441,,
103/6,102484,,,,,19952,10486,,
94/12,79270,,,,,10074,4380,,
105/9,108073,24754,16100,,,,,,
97/9,86533,,,,,11022,4972,,
103/3,104403,,,,,20875,11028,,
98/6,85641,,,,,10759,5229,,
100/6,88802,,,,,12737,5510,,
109/9,152339,43026,23113,,,,,,
106/12,114357,26497,17490,,,,,,
100/3,86813,,,,,14207,6876,,
109/3,141551,36707,20929,,,,,,
103/12,100238,,,,,20369,13660,,
107/9,120505,29328,19293,,,,,,
95/9,72356,,,,,10832,4987,,
109/6,146928,35740,22098,,,,,,
108/12,142296,35817,19365,,,,,,
100/9,93025,,,,,13823,7240,,
108/6,123758,29908,19102,,,,,,
108/3,122178,28898,21062,,,,,,
97/3,79058,,,,,10887,4067,,
105/3,108057,,,,,22976,13978,,
96/12,77441,,,,,7526,4725,,
108/9,127461,33132,19759,,,,,,
107/12,122368,28825,20574,,,,,,
107/6,117146,27549,19364,,,,,,
95/6,72159,,,,,9689,3006,,
95/12,72764,,,,,7613,5160,,
99/6,88194,,,,,10862,4577,,
102/3,96758,,,,,12682,8548,,
102/6,95888,,,,,14256,8906,,
99/12,85981,,,,,13827,6303,,
99/3,88906,,,,,11430,3862,,
104/12,108512,,,,,24451,12969,,
102/9,99073,,,,,13660,11215,,
105/6,108007,23977,14496,,,,,,
97/6,81461,,,,,11459,4192,,
95/3,76321,,,,,11318,3203,,
107/3,114378,26858,18399,,,,,,
99/9,85484,,,,,13133,5608,,
109/12,150754,41205,22795,,,,,,
101/9,95479,,,,,15944,8754,,
100/12,92116,,,,,12546,7347,,
104/9,109577,,,,,21743,12787,,
96/9,75333,,,,,11228,4853,,
102/12,97877,,,,,15455,10955,,
106/9,115301,26442,17802,,,,,,
94/9,81359,,,,,10117,3252,,
110/9,149513,37595,22411,,,,,,
110/6,145168,41121,22356,,,,,,
111/12,179025,50571,24548,,,,,,
110/3,149615,39304,22587,,,,,,
111/3,157827,42667,23814,,,,,,
96/3,71533,,,,,8611,4961,,
111/6,158918,45379,24787,,,,,,
106/6,115146,29933,15119,,,,,,
94/6,80148,,,,,9365,2874,,
101/3,90356,,,,,11820,9103,,
111/9,177634,48588,24417,,,,,,
98/12,86992,,,,,13263,5973,,
97/12,84993,,,,,10413,5268,,
112/9,200602,71943,29499,,,,,,
104/6,107052,,,,,21582,13155,,
96/6,74813,,,,,9956,4931,,
101/6,93754,,,,,14720,8794,,
94/3,88974,,,,,11861,3171,,
106/3,112370,24805,15134,,,,,,
112/3,178738,52783,25705,,,,,,
101/12,94169,,,,,15057,9075,,
112/6,185532,62461,27734,,,,,,
