時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
93/3,258300,,,,,,12691,12666,170767
93/12,255179,,,,,34484,10981,13838,172920
94/12,270717,,,,,39117,10850,11681,195277
95/9,255906,,,,,13771,12588,10535,208966
95/6,257253,,,,,12731,11708,10814,199361
95/12,273692,,,,,15712,14495,11170,214954
95/3,267523,,,,,39227,11263,10690,185210
94/9,254492,,,,,36527,10670,13273,189358
96/3,271444,,,,,15669,15078,9517,231733
94/6,254260,,,,,36113,10261,13853,182938
96/6,255369,,,,,13869,13456,8082,246926
94/3,252871,,,,,36559,9602,16075,180380
