時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
93/3,215341,,,,,,5702,3178,3628
93/12,215874,,,,,1022,5000,2087,4186
94/12,214090,,,,,1702,1821,1300,5067
95/9,237883,,,,,1669,1251,1484,6841
96/12,90676,,,,,602,696,37,7331
95/6,236770,,,,,1786,1398,1229,6147
95/12,197782,,,,,1659,1278,1431,7630
95/3,241872,,,,,1467,1610,1007,5165
96/9,100158,,,,,711,756,52,7538
94/9,211161,,,,,3328,1627,1491,4636
96/3,133051,,,,,1554,983,162,6717
94/6,219457,,,,,3629,2066,1830,4269
96/6,116754,,,,,1147,912,162,7142
94/3,220377,,,,,3585,4303,2406,4088
