時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,245375,,,,,7051,7384,501,3164
93/3,220220,,,,,,22505,1412,2784
103/9,465600,,,,,127552,10244,1113,10486
93/12,202402,,,,,5668,20346,541,4534
104/3,465350,,,,,145925,9995,746,8595
105/12,71738,,,,,,,,
98/3,241703,,,,,8009,9704,590,3390
103/6,459792,,,,,127544,10316,997,10129
94/12,195326,,,,,4207,19256,549,6047
105/9,70546,,,,,,,,
97/9,254393,,,,,12943,11652,1796,3457
103/3,461456,,,,,113023,11116,433,9609
98/6,229024,,,,,7345,9103,176,3392
100/6,285922,,,,,6319,11701,1012,1512
100/3,284895,,,,,8082,10435,995,1284
103/12,469688,,,,,147934,9965,1037,9002
95/9,246586,,,,,4453,15800,1134,6911
100/9,297797,,,,,5512,12541,1120,3327
97/3,288197,,,,,16743,12828,2316,4620
105/3,71003,,,,,,,,
96/12,302961,,,,,21451,13178,2469,5416
95/6,245971,,,,,5201,14636,681,7025
95/12,273635,,,,,4269,14311,1297,7416
99/6,257047,,,,,7901,8104,934,1689
102/3,374833,,,,,5907,12648,509,5628
102/6,374728,,,,,3133,12411,514,6078
99/12,277368,,,,,7417,10786,1152,1289
99/3,252596,,,,,5988,8871,626,3234
104/12,71149,,,,,,,,
102/9,419033,,,,,3512,12452,740,6934
105/6,69717,,,,,,,,
97/6,275707,,,,,14985,12099,2407,3963
95/3,237817,,,,,4446,16421,888,6444
99/9,267808,,,,,7607,7801,1241,1289
101/9,286018,,,,,5691,13758,733,4140
100/12,282426,,,,,5765,13184,797,3489
104/9,69226,,,,,,,,
96/9,293005,,,,,30094,11156,1789,8435
102/12,410839,,,,,6447,11206,428,7779
94/9,199916,,,,,5050,18777,640,6408
96/3,287432,,,,,49161,13770,1512,7466
94/6,200128,,,,,3156,19673,676,5158
101/3,292514,,,,,4088,13277,815,3829
98/12,248860,,,,,6558,9077,690,3178
97/12,249860,,,,,10134,11188,663,3319
104/6,69759,,,,,,,,
96/6,283364,,,,,27026,13148,1614,7288
101/6,288317,,,,,4669,13851,770,3371
94/3,199036,,,,,5465,20854,1022,3763
101/12,302043,,,,,6081,12795,789,5713
