時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,165797,,,,,21632,2068,120,18098
110/12,336826,36238,10016,7,39034,,,,
103/9,231380,,,,,22196,3203,64,20068
104/3,238665,,,,,17966,3106,150,19309
105/12,244057,25842,5038,83,17652,,,,
98/3,153963,,,,,22852,2015,153,14895
103/6,225091,,,,,21762,3823,142,19464
105/9,238992,24011,4849,174,18064,,,,
97/9,155111,,,,,29716,2649,533,15932
103/3,222373,,,,,19072,3732,47,19334
98/6,162748,,,,,20549,1887,200,15408
100/6,173473,,,,,25183,2923,183,19422
109/9,308954,27937,7167,36,35588,,,,
106/12,270170,25628,4100,90,14737,,,,
100/3,170310,,,,,23578,2844,212,19114
109/3,280030,25038,5960,22,31327,,,,
103/12,235927,,,,,17548,2976,113,20026
107/9,283430,17077,4927,73,16824,,,,
95/9,181746,,,,,47115,2269,1249,10142
109/6,294011,28866,6772,23,35926,,,,
108/12,279533,21220,5619,54,31543,,,,
100/9,178613,,,,,25535,2933,277,19908
108/6,276672,16754,5877,73,28660,,,,
108/3,286196,17549,5068,127,28923,,,,
97/3,169216,,,,,39299,2965,998,17916
105/3,241410,,,,,23506,3502,64,19768
96/12,171488,,,,,39887,3270,1163,17605
108/9,278765,14825,5394,46,31051,,,,
107/12,279174,17201,5093,33,27590,,,,
107/6,275363,15910,4490,189,16888,,,,
95/6,164491,,,,,63968,2053,786,8984
95/12,196620,,,,,55349,1918,918,11182
99/6,157211,,,,,19881,2586,112,19389
102/3,198521,,,,,25670,2969,57,21051
102/6,209269,,,,,28891,3286,35,21172
99/12,169791,,,,,22995,2839,110,19066
99/3,163944,,,,,21461,2158,113,18909
104/12,237679,,,,,18288,3607,137,18343
102/9,211983,,,,,11437,3166,76,21383
105/6,236802,25022,4746,67,18627,,,,
97/6,162356,,,,,30249,2943,962,18251
107/3,273445,16356,3711,79,16681,,,,
99/9,166328,,,,,22125,2639,134,18580
109/12,321017,26359,9057,50,32410,,,,
101/9,190819,,,,,25220,2746,169,20641
100/12,176470,,,,,27972,2791,309,19999
104/9,238010,,,,,18396,3628,80,18816
96/9,178609,,,,,41787,2706,1032,16573
102/12,215387,,,,,17886,3602,135,20542
106/9,266757,26160,3189,90,15340,,,,
110/9,328109,43119,9971,9,32668,,,,
110/6,322243,31718,9957,16,32310,,,,
111/12,370454,43384,8950,14,41523,,,,
110/3,323513,31835,9421,25,32446,,,,
111/3,338538,40752,11246,3,39388,,,,
96/3,185267,,,,,55205,1912,846,12466
111/6,347968,44195,11220,38,40982,,,,
106/6,248810,26651,3490,115,15989,,,,
101/3,183314,,,,,29232,2382,162,20000
111/9,356522,41460,10821,5,41568,,,,
98/12,164048,,,,,22535,2185,156,18957
97/12,150905,,,,,27725,2244,277,14739
112/9,371417,42565,8776,2,43016,,,,
104/6,242120,,,,,19846,3339,130,19062
96/6,181269,,,,,40155,1901,1033,14264
101/6,187561,,,,,27656,2818,225,20909
106/3,249867,26896,4853,112,17323,,,,
112/3,371512,44547,8918,,42054,,,,
101/12,194496,,,,,26356,2753,59,20096
112/6,376618,47280,8861,2,41528,,,,
