時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,364936,,,,,4614,12146,3542,77684
110/12,1652066,258203,10181,2495,206539,,,,
103/9,681173,,,,,256631,30787,3249,113386
104/3,751323,,,,,270399,30893,4035,118491
105/12,863882,270726,24908,3033,124446,,,,
98/3,334691,,,,,5165,6315,2275,58958
103/6,650982,,,,,258500,31086,4480,109109
105/9,833663,269742,27171,2800,121186,,,,
97/9,356554,,,,,6359,7619,4378,64909
103/3,628845,,,,,248259,31450,4392,104509
98/6,330743,,,,,5828,9761,3790,66725
100/6,491957,,,,,2953,25508,3785,118707
109/9,1401626,249381,13845,2955,208178,,,,
106/12,872624,208740,17019,4413,126215,,,,
100/3,465608,,,,,2871,20818,3631,119239
109/3,1352404,251645,14913,2315,209352,,,,
103/12,698465,,,,,256912,32168,2856,113762
107/9,1277101,252918,14715,4397,196640,,,,
109/6,1379446,241082,13618,2836,220505,,,,
108/12,1330366,257525,13217,3636,208315,,,,
100/9,501956,,,,,2602,35442,4071,111089
108/6,1298632,251733,17290,2909,194387,,,,
108/3,1277762,259163,13803,3515,198364,,,,
97/3,376182,,,,,9140,7763,5184,92058
105/3,828737,,,,,283913,31741,2499,124564
96/12,345831,,,,,8870,8593,3566,65086
108/9,1309874,248078,13715,3513,208292,,,,
107/12,1278661,242179,15773,4570,202757,,,,
107/6,1303088,268217,19780,5886,191490,,,,
99/6,376764,,,,,2799,20573,3598,107663
102/3,573883,,,,,3204,30541,4164,100531
102/6,581568,,,,,3301,30960,3770,101099
99/12,455776,,,,,2664,22105,3791,111060
99/3,361916,,,,,2205,15525,4076,82655
104/12,817593,,,,,287954,31774,2427,129635
102/9,606637,,,,,3079,31661,3452,103768
105/6,826831,288041,31710,2769,126388,,,,
97/6,368469,,,,,7639,7754,5455,91109
107/3,1305973,301642,23600,4726,191767,,,,
99/9,432603,,,,,2581,18142,3703,104962
109/12,1434285,228938,13043,3333,214008,,,,
101/9,568571,,,,,3601,30746,3656,104050
100/12,508149,,,,,2296,36698,3801,109381
104/9,804065,,,,,296532,30082,2170,123008
96/9,340592,,,,,8692,8909,4802,64943
102/12,599269,,,,,2743,31976,4084,102346
106/9,869825,205900,19161,3823,121471,,,,
110/9,1619640,265668,12859,3599,211635,,,,
110/6,1565271,261623,10865,3120,216626,,,,
111/12,1713048,289136,9236,2379,240855,,,,
110/3,1478803,252570,13826,3259,217211,,,,
111/3,1662977,276331,10298,3060,215577,,,,
111/6,1649124,268591,10415,4339,219590,,,,
106/6,874718,246806,22148,2836,122259,,,,
101/3,521631,,,,,2787,35380,2696,109641
111/9,1669804,289160,10721,3619,240481,,,,
98/12,365103,,,,,3044,15908,3254,78956
97/12,354251,,,,,5059,6885,2315,58617
112/9,1787351,387153,12088,2652,267121,,,,
104/6,805633,,,,,264935,31402,4001,120640
101/6,535033,,,,,3642,37756,4098,104194
106/3,864858,260552,24220,2258,120115,,,,
112/3,1780282,302376,10639,3111,247485,,,,
101/12,554877,,,,,3346,30940,3674,99722
112/6,1795196,338874,11112,3459,250439,,,,
