時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,2255321,,,,,1028311,146238,72396,447554
110/12,3778816,1177175,133160,54734,648883,,,,
103/9,3027002,,,,,1421999,236921,65223,516257
104/3,3110506,,,,,1530199,222285,64702,517181
105/12,2960064,1195031,194880,61255,522980,,,,
98/3,2254667,,,,,842999,151020,67496,459810
103/6,2724233,,,,,1385543,231355,69705,515195
105/9,2909699,1224209,206083,53766,527967,,,,
97/9,2026931,,,,,801270,169883,78225,456965
103/3,2810980,,,,,1439053,235403,65342,507185
98/6,2340659,,,,,897739,145162,69951,456570
100/6,2009693,,,,,1304327,241089,92620,439928
109/9,3379490,1082428,137299,50364,587678,,,,
106/12,3153509,1053114,182295,59790,492615,,,,
100/3,2035781,,,,,1257947,234647,99080,416858
109/3,3275929,1075964,156012,47527,552227,,,,
103/12,2959817,,,,,1465958,228592,63799,511407
107/9,3113205,1061917,169562,72554,481740,,,,
95/9,1853699,,,,,668267,149727,67268,228580
109/6,3415286,1057146,146520,48620,564830,,,,
108/12,3313408,1015065,160879,47032,569150,,,,
100/9,2143471,,,,,1330972,245046,93108,440146
108/6,3238032,978353,177915,54328,515927,,,,
108/3,3182157,1073356,173666,59428,506822,,,,
97/3,1971079,,,,,793013,161515,81751,473328
105/3,3059988,,,,,1363462,215628,55588,528917
96/12,1951405,,,,,759133,158234,77110,334967
108/9,3176007,1014955,176130,51733,547437,,,,
107/12,3178518,1029728,173287,58541,470036,,,,
107/6,3159393,1045110,178927,68365,482197,,,,
95/12,1820434,,,,,701889,155338,65907,249155
99/6,1977790,,,,,1346144,195622,90683,379412
102/3,2429761,,,,,1594873,246132,74844,480078
102/6,2480638,,,,,1618220,242365,70290,492397
99/12,2203070,,,,,1243438,238333,92018,413876
99/3,2151679,,,,,1188970,170769,93454,419460
104/12,3068757,,,,,1359411,216753,55025,534133
102/9,2530805,,,,,1618270,242706,68498,462630
105/6,2973714,1267105,217500,61857,534598,,,,
97/6,1800486,,,,,800426,166320,82732,475467
107/3,3115312,1079679,180006,62247,493204,,,,
99/9,2029472,,,,,1240922,220772,92303,389339
109/12,3435438,1123403,137551,49541,595587,,,,
101/9,2245638,,,,,1545173,243841,77093,444469
100/12,2311390,,,,,1328541,249872,84249,438443
104/9,2985983,,,,,1382368,210891,57542,525961
96/9,1783034,,,,,709472,154890,75066,322378
102/12,2804391,,,,,1634754,238484,65442,482057
106/9,3171906,1086644,178596,64332,502156,,,,
110/9,3798600,1100796,131828,62722,647435,,,,
110/6,3825621,1075291,132765,58594,634799,,,,
111/12,3688012,1349905,144537,64249,701514,,,,
110/3,3659552,1136573,141016,55294,622697,,,,
111/3,3988958,1266733,134641,61576,709916,,,,
96/3,1658214,,,,,719387,154433,70649,274530
111/6,3937650,1258235,138761,62106,701738,,,,
106/6,3015539,1121347,189691,55238,526178,,,,
101/3,2383538,,,,,1344029,253102,87352,435622
111/9,3952714,1362702,147283,68717,716996,,,,
98/12,2200209,,,,,1111868,168769,82069,453632
97/12,2056270,,,,,842718,154221,65660,449004
112/9,3817131,1448954,137493,64972,742709,,,,
104/6,2862266,,,,,1439473,216722,62268,514326
96/6,1752561,,,,,702168,157947,76683,298720
101/6,2271831,,,,,1524457,246635,80986,457259
106/3,2906004,1154588,193059,59099,514145,,,,
112/3,3705131,1456319,146937,66636,714231,,,,
101/12,2428901,,,,,1410169,243398,73103,461314
112/6,3826352,1395764,140694,64802,724054,,,,
