時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,585126,,,,,74106,413,,1653
110/12,959878,129936,20984,910,26848,,,,
103/9,761420,,,,,106152,23460,205,18413
104/3,782559,,,,,103558,16966,259,21132
105/12,785465,139297,13017,604,23308,,,,
98/3,497097,,,,,36622,610,,1478
103/6,762321,,,,,110982,21471,5,15682
94/12,116334,,,,,,8,,
105/9,782537,132888,15707,347,24077,,,,
97/9,427688,,,,,22257,1052,,1531
103/3,761761,,,,,100539,21390,5,13810
98/6,536652,,,,,70266,434,,1602
100/6,699863,,,,,94872,15812,9,2222
109/9,822138,106976,17858,400,21102,,,,
106/12,776383,98871,15216,611,20322,,,,
100/3,677033,,,,,105046,15956,9,2001
109/3,812941,106440,16898,339,19320,,,,
103/12,774918,,,,,104696,17295,8,19213
107/9,795975,112584,15800,337,19569,,,,
95/9,321131,,,,,,23,,
109/6,803609,106526,16889,557,20078,,,,
108/12,789111,115221,15318,373,20936,,,,
100/9,712073,,,,,76543,15977,17,2843
108/6,806733,104251,14184,408,17510,,,,
108/3,801844,101093,13721,499,17272,,,,
97/3,433617,,,,,17754,841,,1571
105/3,775055,,,,,134934,16538,518,25767
96/12,439621,,,,,,572,,648
108/9,794699,107806,16027,586,20639,,,,
107/12,801733,105246,14188,329,19314,,,,
107/6,811369,103265,15878,508,21060,,,,
95/6,266966,,,,,,23,,
95/12,352894,,,,,,23,,
99/6,657281,,,,,66180,10399,18,1357
102/3,741621,,,,,104591,16576,,12946
102/6,750894,,,,,89998,16629,,13003
99/12,686584,,,,,106108,15905,15,2051
99/3,645013,,,,,54793,10738,,2020
104/12,777583,,,,,110522,16705,10,23991
102/9,761829,,,,,84005,16831,,13871
105/6,788519,129869,16047,224,26005,,,,
97/6,431343,,,,,22081,557,,1414
95/3,196086,,,,,,23,,
107/3,782644,111529,15170,364,21184,,,,
99/9,674405,,,,,112154,10728,9,1378
109/12,868585,148159,19415,603,22315,,,,
101/9,720234,,,,,107707,16370,17,8694
100/12,714811,,,,,96527,15923,16,3874
104/9,782114,,,,,101856,18405,111,24833
96/9,435591,,,,,,353,,594
102/12,769875,,,,,96568,19622,306,13969
106/9,795618,138354,16524,459,22982,,,,
94/9,83713,,,,,,6,,
110/9,930404,151751,19569,616,23218,,,,
110/6,914165,148462,19374,725,20893,,,,
111/12,1093383,206002,17661,1283,29567,,,,
110/3,892596,153236,17446,716,20366,,,,
111/3,980305,159241,21374,1037,28339,,,,
96/3,397381,,,,,,30,,363
111/6,1017145,173744,21207,356,28456,,,,
106/6,781253,136384,15273,930,22774,,,,
94/6,34099,,,,,,,,
101/3,725643,,,,,100073,16159,12,5585
111/9,1059098,189950,19742,1281,28937,,,,
98/12,610547,,,,,99935,10262,,1779
97/12,439658,,,,,21906,224,,1634
112/9,1091732,218329,20623,1332,30443,,,,
104/6,782285,,,,,108095,17371,273,23174
96/6,429203,,,,,,451,,454
101/6,723825,,,,,102218,16357,6,8061
106/3,782017,139227,13600,876,23351,,,,
112/3,1061753,203958,20901,850,30658,,,,
101/12,733640,,,,,126353,16425,13,9840
112/6,1063516,193528,21300,764,32522,,,,
