時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
110/12,713659,309763,20894,1281,46184,,,,
104/3,162522,,,,,85974,766,136,36187
105/12,565760,334133,9755,780,37830,,,,
105/9,549480,338885,10249,1078,37562,,,,
109/9,749920,283977,19261,1398,52162,,,,
106/12,585450,327036,9430,2185,33994,,,,
109/3,757804,281762,18396,720,47872,,,,
107/9,718708,306372,13180,2642,36786,,,,
109/6,776172,266487,18690,1331,48642,,,,
108/12,662359,325171,20294,1038,49841,,,,
108/6,709100,312313,19838,1264,34546,,,,
108/3,692284,308895,19112,1480,34780,,,,
105/3,523657,,,,,306342,10539,666,39311
108/9,691610,327694,19867,982,34527,,,,
107/12,679129,287857,13156,1501,35511,,,,
107/6,704858,351211,12302,2355,40139,,,,
104/12,539696,,,,,283522,10456,527,40041
105/6,512776,354107,10773,1486,37489,,,,
107/3,662382,333014,10902,2030,34335,,,,
109/12,780258,313433,19393,788,53840,,,,
104/9,554813,,,,,256233,11654,656,41619
106/9,579434,360252,11803,1798,33614,,,,
110/9,708014,304094,24435,1206,61485,,,,
110/6,751979,294712,24873,1005,58219,,,,
111/12,764015,373722,10548,685,51613,,,,
110/3,753064,311055,22403,1081,55380,,,,
111/3,728808,322047,22975,1940,48649,,,,
111/6,749229,326232,15624,1911,50546,,,,
106/6,588918,356124,10195,777,39059,,,,
111/9,796192,354443,9777,991,52462,,,,
112/9,795320,366633,15645,963,59873,,,,
104/6,544624,,,,,245123,11176,897,44296
106/3,581613,345495,10131,922,38807,,,,
112/3,748118,379613,15225,1588,53634,,,,
112/6,795992,367379,17910,1097,57671,,,,
