時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
110/12,677450,123414,32781,1685,62069,,,,
103/9,736919,,,,,100379,13324,3264,65417
104/3,784605,,,,,125826,11155,2236,67502
105/12,698538,122435,10463,1173,56791,,,,
103/6,718191,,,,,105691,13863,3551,64151
105/9,699324,121485,10286,1278,58839,,,,
103/3,672525,,,,,103158,14948,4103,65507
100/6,427754,,,,,4049,65348,3699,72468
109/9,642182,123317,18338,1681,62073,,,,
106/12,710078,106938,11458,1725,53435,,,,
100/3,428826,,,,,4391,12901,5511,69679
109/3,719361,136947,17863,2328,57104,,,,
103/12,808712,,,,,113096,13563,2904,61819
107/9,775182,118063,10304,2151,61166,,,,
109/6,659552,123543,17816,1429,60216,,,,
108/12,723887,140814,15371,1842,57991,,,,
100/9,468948,,,,,3262,55794,4483,55850
108/6,778867,145452,12594,2076,59779,,,,
108/3,767831,130286,11014,1740,60721,,,,
105/3,709782,,,,,138087,12106,1716,62046
108/9,775559,126645,15031,1411,60103,,,,
107/12,770951,112034,13335,2494,58917,,,,
107/6,821541,115802,11586,2702,61318,,,,
99/6,387393,,,,,4544,13176,5406,63510
102/3,593315,,,,,3218,12425,3665,68708
102/6,626704,,,,,3143,14110,3699,64736
99/12,,,,,,,,,
104/12,748283,,,,,133955,13339,1895,62264
102/9,633574,,,,,1911,14178,3466,63309
105/6,701262,146649,10741,1517,60869,,,,
107/3,789648,102530,11280,1894,58180,,,,
99/9,,,,,,,,,
109/12,683327,119872,21487,1145,54559,,,,
101/9,535704,,,,,2772,12007,3534,70804
100/12,501731,,,,,5650,13482,3352,63621
104/9,765449,,,,,146925,12936,1997,64322
102/12,629158,,,,,1416,14201,3585,61503
106/9,721582,120145,8670,1297,57552,,,,
110/9,699268,130589,25439,1989,62896,,,,
110/6,661445,141482,22692,2211,61342,,,,
111/12,657356,200901,36588,954,77665,,,,
110/3,686158,152091,20910,1397,61499,,,,
111/3,732574,135399,33735,1613,65449,,,,
111/6,717557,143150,38748,1616,71277,,,,
106/6,702303,117538,9359,1445,57861,,,,
101/3,483643,,,,,3982,12996,4515,68046
111/9,743945,178605,37482,1173,78250,,,,
112/9,653531,218517,37181,1154,112225,,,,
104/6,743820,,,,,123853,12468,3115,66247
101/6,536540,,,,,2009,11718,3432,73319
106/3,748474,114820,9097,2169,56967,,,,
112/3,662222,216107,33810,771,89527,,,,
101/12,560521,,,,,3997,13170,3037,72484
112/6,634845,215461,33679,909,97689,,,,
