時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,295476,,,,,40237,1954,2389,32330
110/12,762700,146858,27151,3871,77982,,,,
103/9,506240,,,,,123608,11020,3513,53345
104/3,532226,,,,,141948,10880,3437,54010
105/12,623110,177722,14643,4433,57991,,,,
98/3,289508,,,,,31168,3259,1826,31725
103/6,504207,,,,,119184,10530,3458,50081
105/9,595669,172307,15690,3681,56551,,,,
97/9,276233,,,,,28165,1884,2211,37004
103/3,505509,,,,,124521,10783,3901,44875
98/6,291803,,,,,35777,2255,2119,32536
100/6,351359,,,,,58686,2970,4280,37531
109/9,706132,142503,19536,3301,64714,,,,
106/12,656976,159353,18693,3900,62673,,,,
100/3,351843,,,,,58078,2943,4230,37290
109/3,680544,136447,17513,3125,64968,,,,
103/12,529489,,,,,125625,11216,3633,53847
107/9,674778,154941,16997,4346,65921,,,,
109/6,706042,142681,18409,2866,65400,,,,
108/12,675483,139426,16485,3319,67330,,,,
100/9,358230,,,,,60896,4109,3454,37588
108/6,673362,146761,16789,3412,67082,,,,
108/3,683985,147607,17391,4624,66244,,,,
97/3,265319,,,,,24974,1975,2785,36265
105/3,584922,,,,,172555,13624,3063,55703
96/12,263032,,,,,24694,1999,2663,32913
108/9,679037,137894,15911,2799,65983,,,,
107/12,684484,152913,18336,4141,65771,,,,
107/6,676425,165929,19699,4119,67052,,,,
99/6,321414,,,,,49162,3033,3091,34711
102/3,456163,,,,,103145,7912,4542,40495
102/6,473305,,,,,118703,7678,4275,45213
99/12,342106,,,,,57481,3267,3651,35556
99/3,314386,,,,,45099,3024,3436,34009
104/12,573128,,,,,152183,12264,2689,55544
102/9,480402,,,,,117148,8837,3245,45916
105/6,589324,164824,13345,3826,57026,,,,
97/6,264027,,,,,25807,1826,3204,39419
107/3,657150,164811,19569,4547,64937,,,,
99/9,330595,,,,,53759,3207,3435,34836
109/12,728236,143852,22879,3430,65050,,,,
101/9,430754,,,,,102764,6024,3665,41476
100/12,385221,,,,,88760,4378,2859,38646
104/9,568482,,,,,142912,12357,3180,54196
96/9,266410,,,,,24159,2038,2144,31163
102/12,493878,,,,,114396,9142,3895,44661
106/9,640040,186971,20044,4750,59636,,,,
110/9,737717,145997,26704,4418,74077,,,,
110/6,741102,140686,25122,4074,73016,,,,
111/12,797251,171596,27270,3351,84322,,,,
110/3,736483,144661,25430,4246,72286,,,,
111/3,772079,156682,27665,4542,79029,,,,
111/6,769351,166688,26015,4384,80184,,,,
106/6,633044,187609,19257,4455,58534,,,,
101/3,395042,,,,,91267,4977,3948,39117
111/9,795562,172528,26075,3142,83637,,,,
98/12,310339,,,,,44471,3199,2312,33489
97/12,286442,,,,,29290,3518,1532,32128
112/9,828104,188181,30250,3555,97172,,,,
104/6,538715,,,,,139586,10154,3593,56920
96/6,267804,,,,,22975,1966,1751,26576
101/6,414745,,,,,101603,5310,3478,39851
106/3,634610,182003,16014,4475,58615,,,,
112/3,796975,180687,26253,4201,85619,,,,
101/12,445076,,,,,102507,7366,4223,41863
112/6,804770,180278,28848,3609,91322,,,,
