時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,1357146,,,,,662697,64937,11861,366467
110/12,3138329,839839,20451,9432,597591,,,,
103/9,1981436,,,,,872411,39360,12216,311799
104/3,1960934,,,,,717901,38862,12038,317413
105/12,2138742,681314,32090,8893,337076,,,,
98/3,1255181,,,,,681237,61234,9971,399803
103/6,1899608,,,,,822137,49352,11017,296859
94/12,1010177,,,,,17845,46600,10407,133731
105/9,2087518,647290,30415,8536,329127,,,,
97/9,1258938,,,,,677530,59029,15264,380117
103/3,1888032,,,,,831011,51102,11197,297979
98/6,1311359,,,,,704895,54604,11424,373850
100/6,1519232,,,,,765543,76117,15188,315011
109/9,2739523,693754,16742,6171,526865,,,,
106/12,2392541,606877,29397,10409,378194,,,,
100/3,1529209,,,,,700892,75746,14744,312004
109/3,2762637,696361,23553,6865,471657,,,,
103/12,1941523,,,,,869103,39969,9883,316083
107/9,2417435,626081,22658,9923,400621,,,,
95/9,1122683,,,,,20635,43965,14420,172505
109/6,2763455,687616,18579,7192,509366,,,,
108/12,2637172,732289,22741,5360,439981,,,,
100/9,1558178,,,,,783884,81069,13166,312621
108/6,2508945,674808,25675,7579,423255,,,,
108/3,2434422,623097,26887,8988,406134,,,,
97/3,1211500,,,,,665991,48860,17773,423605
105/3,2045000,,,,,649488,35776,7963,330811
96/12,1144145,,,,,331351,50325,17055,253510
108/9,2511625,704222,25267,5614,441711,,,,
107/12,2443593,606403,27845,8296,389335,,,,
107/6,2472064,599318,27531,9709,401054,,,,
95/6,1076862,,,,,15356,46146,13361,155615
95/12,1118889,,,,,27500,41715,13453,188643
99/6,1448260,,,,,654753,73186,12157,307613
102/3,1719526,,,,,763537,60093,10408,305455
102/6,1725248,,,,,869617,55365,9874,299938
99/12,1538526,,,,,665802,76084,13434,350572
99/3,1440427,,,,,682814,68675,10394,346857
104/12,2108753,,,,,651779,34538,8736,336424
102/9,1783952,,,,,858655,50364,11178,286931
105/6,2085824,638264,37208,7046,332840,,,,
97/6,1231091,,,,,686289,56633,18085,395287
95/3,997526,,,,,16089,43517,10693,141552
107/3,2386284,587370,29016,9338,392449,,,,
99/9,1484445,,,,,652812,77121,12403,292583
109/12,2809454,753055,19155,7186,514499,,,,
101/9,1671065,,,,,823410,66320,10226,304761
100/12,1543702,,,,,791054,75733,10291,307234
104/9,2222134,,,,,681505,35022,9404,326311
96/9,1175705,,,,,18124,37748,15444,245624
102/12,1846362,,,,,918143,46562,10095,294694
106/9,2267348,631359,30942,9145,381196,,,,
94/9,1002517,,,,,12026,48733,11925,124280
110/9,3038175,736932,18455,9107,596094,,,,
110/6,2865137,788691,20955,9941,581249,,,,
111/12,3334785,893818,24335,7490,677600,,,,
110/3,2880662,779848,22035,9202,563279,,,,
111/3,3240186,865548,22304,11414,631371,,,,
96/3,1103726,,,,,24207,39192,15462,203048
111/6,3261808,910978,24116,9325,646718,,,,
106/6,2249946,623576,30759,7558,363918,,,,
94/6,1021264,,,,,15001,49634,11967,115018
101/3,1662234,,,,,734883,74411,10295,304111
111/9,3385623,941792,25729,8692,674367,,,,
98/12,1384376,,,,,675699,69247,10337,356254
97/12,1258322,,,,,687201,64936,10681,371786
112/9,3770882,881044,26390,8061,897178,,,,
104/6,1961739,,,,,683445,34792,8467,318876
96/6,1125610,,,,,24039,36543,16808,224476
101/6,1667849,,,,,743148,72507,10212,305727
94/3,1024252,,,,,11899,52883,11557,109084
106/3,2154685,607349,32840,10242,339967,,,,
112/3,3380471,863137,27086,8222,688052,,,,
101/12,1633239,,,,,822566,61053,8447,308911
112/6,3700292,912051,25295,8209,771674,,,,
