時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,836015,,,,,67442,17404,6048,222324
93/3,635853,,,,,,22470,5440,99819
110/12,2148765,733112,25306,4893,531982,,,,
103/9,1349782,,,,,577511,13488,4641,224536
93/12,757482,,,,,275431,22373,8036,120676
104/3,1457559,,,,,562629,15108,3105,222796
105/12,1540853,614674,15733,2903,261073,,,,
98/3,839764,,,,,65110,21114,4145,201865
103/6,1290803,,,,,512059,12186,4066,220635
94/12,891595,,,,,321117,24041,8273,139109
105/9,1507269,562919,18911,2724,249073,,,,
97/9,880790,,,,,54840,25562,5888,238937
103/3,1198863,,,,,560670,11220,3438,215252
98/6,817160,,,,,62784,17679,4897,212779
100/6,983136,,,,,60481,18805,6037,262711
109/9,2093600,622171,19955,3437,467982,,,,
106/12,1614227,566156,19163,3370,288775,,,,
100/3,957530,,,,,93947,21739,6968,221734
109/3,2095562,583484,19127,3302,388816,,,,
103/12,1387088,,,,,589182,13177,4019,216279
107/9,1766820,575992,18245,4669,315287,,,,
95/9,866818,,,,,356364,27307,7882,175252
109/6,1994550,591151,20252,2893,414860,,,,
108/12,1954019,587101,18728,3582,387479,,,,
100/9,1001208,,,,,91599,15914,5498,217508
108/6,1876177,529029,17591,3274,342287,,,,
108/3,1833163,600880,20929,3196,345037,,,,
97/3,925548,,,,,52844,26786,8051,255688
105/3,1495589,,,,,605646,16002,2728,237236
96/12,907721,,,,,52152,29242,8700,219952
108/9,1936327,577194,16916,3476,365933,,,,
107/12,1736201,612067,17625,3166,331269,,,,
107/6,1725825,556119,19596,3324,309119,,,,
95/6,868273,,,,,312040,26252,6988,159253
95/12,849622,,,,,256839,26669,7677,184370
99/6,877188,,,,,81505,14838,8243,224213
102/3,1123292,,,,,93135,18669,4821,210731
102/6,1105803,,,,,95949,13043,3604,210646
99/12,926307,,,,,95912,13045,6487,222628
99/3,839393,,,,,76980,14633,9108,220997
104/12,1521652,,,,,609337,15035,3854,225718
102/9,1199717,,,,,88550,18629,4061,208118
105/6,1496939,575611,15746,2649,239663,,,,
97/6,934441,,,,,63454,25683,9306,255614
95/3,892232,,,,,305922,26010,7874,149776
107/3,1704118,565945,20715,3572,299979,,,,
99/9,885865,,,,,88483,15262,7283,224260
109/12,2140387,624615,25102,3698,468501,,,,
101/9,1085869,,,,,85029,11328,3932,215460
100/12,1005676,,,,,84139,15707,5081,221598
104/9,1615051,,,,,585012,14753,4248,215113
96/9,850664,,,,,60615,29247,7607,224302
102/12,1148855,,,,,102393,15506,3020,209643
106/9,1597909,548855,21611,2566,282499,,,,
94/9,877857,,,,,321564,26932,9153,135763
110/9,2120474,686005,23299,5730,512122,,,,
110/6,2125418,579060,24693,5120,496123,,,,
111/12,2401199,885829,20354,3919,694770,,,,
110/3,2217223,615561,23315,4249,493154,,,,
111/3,2259794,735130,27420,5264,575354,,,,
96/3,838355,,,,,57758,28290,8622,198109
111/6,2266059,725992,27253,5072,613629,,,,
106/6,1608569,533412,18209,3006,270470,,,,
94/6,822942,,,,,295999,25577,7583,125560
101/3,1056401,,,,,95035,13784,5255,226911
111/9,2383065,853987,21978,4489,659500,,,,
98/12,839610,,,,,69945,15142,6290,226267
97/12,856950,,,,,56542,24821,4637,206818
112/9,2602981,914659,26055,3503,791332,,,,
104/6,1512102,,,,,561192,13722,3360,218195
96/6,838228,,,,,51478,29222,8746,209107
101/6,1063531,,,,,88750,14323,4537,223397
94/3,780939,,,,,275200,25031,8753,123911
106/3,1576583,564865,18270,3873,266532,,,,
112/3,2515322,860951,24379,4885,753351,,,,
101/12,1093552,,,,,91381,10691,3915,217960
112/6,2591563,767640,22403,4462,773105,,,,
