時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,390408,,,,,79535,16245,3183,129881
110/12,1173947,230915,26435,3854,180844,,,,
103/9,740655,,,,,234735,16607,7937,168037
93/12,86261,,,,,5001,2394,60,177
104/3,755993,,,,,244127,15514,6482,165295
105/12,782882,203570,14556,5488,152288,,,,
98/3,394620,,,,,61507,18115,2645,110621
103/6,748570,,,,,326755,17416,7265,171616
94/12,345055,,,,,67289,4910,2308,11731
105/9,764278,207990,18893,4293,156708,,,,
97/9,399916,,,,,61083,14719,2990,127529
103/3,739025,,,,,315159,18280,8248,168556
98/6,396111,,,,,71029,18564,2458,110942
100/6,487311,,,,,143491,8843,6608,172890
109/9,999049,201967,18364,2342,152348,,,,
106/12,813062,186051,17662,5226,137308,,,,
100/3,482551,,,,,132999,9850,8276,160596
109/3,966353,192620,13670,2624,145162,,,,
103/12,760051,,,,,235832,15591,6933,167267
107/9,858931,187056,12533,4788,150847,,,,
95/9,333054,,,,,40305,5360,2875,17056
109/6,997451,200975,14842,2578,150382,,,,
108/12,940687,189306,12233,2308,147669,,,,
100/9,518511,,,,,148759,9157,7268,165711
108/6,897323,193013,10722,2944,144044,,,,
108/3,903973,181877,12134,3595,146535,,,,
97/3,396947,,,,,64611,13914,4005,102544
105/3,785975,,,,,229716,18643,5424,159282
96/12,385703,,,,,58034,10284,3414,81490
108/9,936531,201769,12718,2210,147212,,,,
107/12,871876,189781,12406,3632,147745,,,,
107/6,848767,184586,15328,4474,150621,,,,
95/6,324800,,,,,36244,5710,2301,14622
95/12,351614,,,,,41390,6043,3486,20977
99/6,413860,,,,,111779,13853,4159,165257
102/3,616935,,,,,186288,13655,8121,164802
102/6,653075,,,,,182834,13922,6932,165294
99/12,469693,,,,,128714,8048,6370,160271
99/3,400112,,,,,99459,15844,4377,168740
104/12,788757,,,,,237203,17826,4771,161626
102/9,668068,,,,,195723,14997,6969,160855
105/6,759473,215923,19489,4153,161587,,,,
97/6,402867,,,,,60873,14659,4004,120851
95/3,336690,,,,,80509,4800,2661,12272
107/3,825846,187692,16013,3903,140126,,,,
99/9,433893,,,,,,7135,4739,158845
109/12,1040503,202789,19767,2846,151903,,,,
101/9,598531,,,,,184100,12079,6473,161006
100/12,561468,,,,,152617,11036,5579,161585
104/9,796087,,,,,248041,17967,5767,162313
96/9,380413,,,,,53512,8391,3306,63393
102/12,693352,,,,,209265,16690,7320,163805
106/9,789348,192666,17924,4815,136073,,,,
94/9,99704,,,,,24158,2863,690,393
110/9,1143068,217600,32268,3045,167609,,,,
110/6,1122483,210059,26499,4103,162404,,,,
110/3,1084988,208911,24010,3142,158269,,,,
111/3,1175645,235573,29163,3749,184788,,,,
96/3,357248,,,,,48035,6582,2931,25809
111/6,1179167,260074,25253,3500,189594,,,,
106/6,783866,191728,16670,4622,138392,,,,
94/6,96380,,,,,7684,1731,196,393
101/3,583007,,,,,162197,11491,6863,159431
111/9,1187572,249611,20608,3523,184242,,,,
98/12,422948,,,,,97604,16793,3146,128522
97/12,403362,,,,,64261,15332,1578,113195
104/6,764673,,,,,241574,18112,6800,164826
96/6,368916,,,,,53048,7260,3819,41996
101/6,580400,,,,,179986,12088,6291,159842
94/3,88828,,,,,7174,1648,176,230
106/3,762008,196219,17045,5583,149915,,,,
101/12,633637,,,,,182790,12904,7259,161491
