時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
93/3,2002462,,,,,73889,56666,16929,7131
110/12,4182585,778096,98577,31775,512890,,,,
93/12,2030769,,,,,107283,52131,17956,16873
94/12,1968767,,,,,107170,51337,17325,30967
109/9,3762895,762153,106886,16486,452841,,,,
109/3,3570161,700600,102535,19172,425314,,,,
109/6,3708635,764723,106468,18752,439601,,,,
108/12,3504564,724098,100233,19439,440315,,,,
108/6,3421458,664822,91215,17365,419366,,,,
108/9,3444331,683744,95047,19060,432928,,,,
95/3,1898557,,,,,509771,48689,15750,28605
109/12,3898352,784570,103627,24187,445897,,,,
94/9,1938303,,,,,107224,51507,16117,22673
110/9,4065579,806602,95160,30536,500878,,,,
110/6,4050152,801109,97315,31310,491311,,,,
111/12,4244432,894191,90136,25450,516568,,,,
110/3,3950917,841655,107298,31951,478920,,,,
111/3,4163128,740411,97688,31475,536883,,,,
111/6,4075775,752570,96691,29211,524952,,,,
94/6,1954019,,,,,108777,52351,15092,19164
111/9,4241481,749871,100887,29562,536547,,,,
112/9,4410668,997236,98663,29465,560159,,,,
94/3,1983337,,,,,108443,53432,19727,17973
112/3,4395017,936231,99929,28775,518673,,,,
112/6,4391312,958219,97381,27336,538661,,,,
