時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,2577374,,,,,620017,45456,25332,193240
103/9,2923214,,,,,702891,74989,24867,229119
104/3,2970393,,,,,730393,69439,22459,245699
105/12,3142597,660667,78348,21153,291188,,,,
98/3,2496089,,,,,658987,47623,22498,169820
103/6,2954288,,,,,757998,78952,23141,216007
105/9,3121441,709575,78409,21146,286466,,,,
97/9,2484087,,,,,660358,50683,27673,200181
103/3,2958661,,,,,781744,81052,24157,211885
98/6,2534512,,,,,655382,47613,24589,177462
100/6,2680215,,,,,943503,63004,27926,228341
106/12,3190229,647344,79802,18729,343587,,,,
100/3,2667379,,,,,959125,53220,30831,222910
103/12,2911022,,,,,720371,72136,21907,234701
107/9,3271418,682472,80805,22127,367754,,,,
95/9,2345139,,,,,539247,57426,20979,63952
100/9,2738550,,,,,919430,75747,26968,223397
108/3,3378645,635082,86510,21926,374917,,,,
97/3,2430770,,,,,641583,50491,30832,222253
105/3,3105324,,,,,696070,76835,19151,265501
96/12,2440706,,,,,666146,49084,28062,126080
107/12,3290564,653701,86627,19555,366951,,,,
107/6,3297984,680215,79196,20663,356691,,,,
95/6,2394689,,,,,538924,57915,24534,54831
95/12,2382381,,,,,534883,55341,22589,71873
99/6,2593846,,,,,733410,45961,32219,215685
102/3,2884818,,,,,794883,80976,21794,211462
102/6,2839265,,,,,779758,80441,21855,222013
99/12,2700999,,,,,795825,52538,25556,222332
99/3,2531677,,,,,662022,43214,29262,211228
104/12,3048084,,,,,700520,75847,17366,262911
102/9,2865089,,,,,777181,79460,20779,217670
105/6,3120050,722592,78407,21637,282833,,,,
97/6,2421702,,,,,668948,52980,33245,217356
107/3,3208701,697033,80267,19856,348439,,,,
99/9,2603081,,,,,761274,48072,29482,221379
101/9,2831046,,,,,719910,82230,23806,213031
100/12,2775019,,,,,921433,83742,24235,210400
104/9,3030929,,,,,693902,75462,18271,253777
96/9,2387573,,,,,629427,50295,27035,115190
102/12,2922671,,,,,729403,79200,23275,214117
106/9,3132252,677293,84123,19626,333379,,,,
96/3,2369679,,,,,551590,54476,26086,84840
106/6,3109863,635823,80771,19938,320105,,,,
101/3,2826052,,,,,934461,81068,26611,213991
98/12,2593641,,,,,712717,45437,25468,207488
97/12,2517317,,,,,625373,50584,22525,163008
104/6,2958927,,,,,722478,68941,19290,252218
96/6,2391706,,,,,660938,52326,26390,101972
101/6,2821194,,,,,976731,85121,22775,214198
106/3,3096645,670658,77304,23242,303120,,,,
101/12,2885482,,,,,765873,80851,22331,211680
