時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,1469122,,,,,33101,18535,2489,419710
93/3,945641,,,,,21823,16163,2770,63998
110/12,3379987,742995,18243,6567,569339,,,,
103/9,2125680,,,,,586028,11647,4834,502982
93/12,1028567,,,,,210816,17028,3793,82039
104/3,2256135,,,,,547353,12222,4925,479983
105/12,2512083,575658,7141,3741,482621,,,,
98/3,1347736,,,,,312913,17616,3154,413126
103/6,2058234,,,,,570588,10192,5116,501424
94/12,1131434,,,,,381710,14588,3303,120317
105/9,2459525,521520,6853,3907,474299,,,,
97/9,1360504,,,,,285019,17903,3123,391590
103/3,2011059,,,,,578145,11484,5323,480079
98/6,1409331,,,,,250882,20809,1854,402021
100/6,1629243,,,,,56006,14298,4745,447588
109/9,2996315,658015,15394,5343,517701,,,,
106/12,2682270,632181,7167,3766,470515,,,,
100/3,1579947,,,,,56294,14683,6991,438175
109/3,2979045,674352,13178,6458,475577,,,,
103/12,2210857,,,,,587487,12106,4904,485716
107/9,2757177,633438,8578,4640,473741,,,,
95/9,1136537,,,,,299990,17149,2532,147834
109/6,2961324,616269,13273,4751,495641,,,,
108/12,2882969,684106,12957,4497,499609,,,,
100/9,1710653,,,,,56944,13605,5683,473514
108/6,2824807,737560,14229,5557,486065,,,,
108/3,2812220,626463,14154,4386,493212,,,,
97/3,1298292,,,,,93548,17886,4510,365544
105/3,2370611,,,,,503482,9319,4432,488426
96/12,1287365,,,,,302003,19258,2958,213499
108/9,2899915,641775,13506,5414,501845,,,,
107/12,2770709,676108,13534,4218,503895,,,,
107/6,2766144,655850,7926,4670,460955,,,,
95/6,1124607,,,,,333042,14982,3611,138824
95/12,1177036,,,,,280178,17142,2545,160490
99/6,1516108,,,,,47751,17095,5099,417030
102/3,1832046,,,,,63762,11680,4821,486755
102/6,1870576,,,,,63943,10711,3696,473311
99/12,1566204,,,,,55536,15434,6193,430531
99/3,1474541,,,,,43200,16501,3303,426810
104/12,2344278,,,,,589427,10285,4464,503468
102/9,1905831,,,,,54457,10943,4133,466948
105/6,2411120,498143,7424,3476,494105,,,,
97/6,1290147,,,,,305702,17496,4982,402054
95/3,1107159,,,,,346843,15130,2820,126515
107/3,2718512,593648,7323,4423,467576,,,,
99/9,1544979,,,,,51369,16280,4909,426483
109/12,3124390,702646,17072,5732,525889,,,,
101/9,1797175,,,,,61813,12537,4682,465605
100/12,1707590,,,,,51898,13245,4308,480675
104/9,2350446,,,,,533285,10263,3714,480347
96/9,1288781,,,,,278343,17924,3191,198265
102/12,1956726,,,,,165616,11270,3203,470844
106/9,2658366,573830,7248,3519,475669,,,,
94/9,1031410,,,,,386910,14603,3723,105358
110/9,3307808,717921,18967,7436,558233,,,,
110/6,3276237,709025,17649,7142,553867,,,,
111/12,3761096,881947,19614,6869,659036,,,,
110/3,3165744,736031,17044,6821,546051,,,,
111/3,3474809,748615,18547,9911,619007,,,,
96/3,1281918,,,,,271569,17493,1898,178134
111/6,3548915,789976,18348,7409,621257,,,,
106/6,2572614,606454,6539,3320,483300,,,,
94/6,1049058,,,,,216242,15800,3810,96433
101/3,1752562,,,,,52057,13685,5178,483024
111/9,3715648,849153,19810,6565,634656,,,,
98/12,1509326,,,,,34165,15798,3521,436227
97/12,1349274,,,,,71831,16671,2391,383442
112/9,4151949,958509,20820,6821,726994,,,,
104/6,2268514,,,,,517220,11832,4428,475611
96/6,1266765,,,,,273263,17432,4269,183524
101/6,1715047,,,,,51672,14962,6009,484257
94/3,1036258,,,,,454693,16177,3958,88274
106/3,2588617,574575,7019,3797,463875,,,,
112/3,3883259,874938,19643,6338,688122,,,,
101/12,1786392,,,,,34414,12082,4281,474722
112/6,4080603,930653,19807,6995,701530,,,,
