時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,39791,,,,,10903,57,,44
98/3,40706,,,,,11883,11,,
98/6,39864,,,,,11429,61,,
100/6,52079,,,,,12830,236,24,921
100/3,50071,,,,,13138,236,35,776
100/9,52837,,,,,13514,292,59,999
99/6,41246,,,,,11212,13,,497
102/3,58972,,,,,14317,173,85,2165
102/6,62938,,,,,14538,179,20,2593
99/12,47153,,,,,12332,236,2,507
99/3,40427,,,,,11837,492,,436
102/9,63306,,,,,15061,179,6,2742
99/9,43283,,,,,11494,13,,511
101/9,56144,,,,,14419,438,24,1578
100/12,54411,,,,,13572,307,3,1069
101/3,56233,,,,,13960,257,24,1093
98/12,40749,,,,,11505,114,,384
97/12,41341,,,,,11920,9,,
101/6,55620,,,,,13908,464,43,1248
101/12,59335,,,,,13259,445,2,1725
