時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,363676,,,,,5584,20379,2797,74142
93/3,288568,,,,,4573,17384,4471,32380
103/9,475904,,,,,146425,14168,1680,72731
93/12,285273,,,,,7305,18637,4350,36314
104/3,459329,,,,,147286,17629,679,73781
105/12,473800,128956,15700,695,58052,,,,
98/3,316140,,,,,7070,24438,859,69941
103/6,455722,,,,,142838,18371,969,72289
94/12,339923,,,,,11584,19436,4286,38188
105/9,430778,120520,17036,471,56655,,,,
97/9,322838,,,,,10676,25075,2452,83459
103/3,454910,,,,,160235,18431,1248,70588
98/6,328702,,,,,5816,17895,1560,73379
100/6,467618,,,,,14349,20945,2942,65122
106/12,431713,128893,8235,451,65743,,,,
100/3,457421,,,,,12220,22925,3483,83753
103/12,499668,,,,,146853,14629,941,73005
95/9,682996,,,,,21794,25126,5279,44749
100/9,457844,,,,,16262,22904,4507,63560
97/3,313757,,,,,12386,26663,4372,94127
105/3,434357,,,,,128283,19558,525,58999
96/12,314171,,,,,14026,31067,2780,66284
95/6,527875,,,,,15523,24472,4699,42833
95/12,686287,,,,,21189,29644,3950,48754
99/6,399802,,,,,10525,22105,4457,77085
102/3,441965,,,,,12102,18112,1663,65606
102/6,444153,,,,,12147,18101,2037,64781
99/12,413655,,,,,14059,21578,4080,84000
99/3,391066,,,,,7907,19279,3360,79458
104/12,446490,,,,,134389,21685,1140,59891
102/9,443897,,,,,11312,18674,1362,65866
105/6,422931,122022,17345,654,58454,,,,
97/6,310764,,,,,12098,27158,3601,95864
95/3,428925,,,,,11593,21270,4281,39688
99/9,397794,,,,,8626,26404,3411,73266
101/9,450056,,,,,13970,18301,1633,63872
100/12,460720,,,,,14613,24208,2509,62237
104/9,456009,,,,,141757,24403,815,61220
96/9,324883,,,,,16336,28286,3402,67416
102/12,451383,,,,,11297,16893,1850,67367
106/9,447347,116311,10298,475,65423,,,,
94/9,328515,,,,,10371,19665,4474,36795
96/3,361386,,,,,19740,30362,4713,53593
106/6,470156,116600,12411,767,63063,,,,
94/6,307334,,,,,12231,18308,3982,35412
101/3,472800,,,,,14368,24072,3133,62707
98/12,380260,,,,,6820,19237,2219,78705
97/12,328469,,,,,7187,20247,843,68390
104/6,445655,,,,,143394,21597,1110,71547
96/6,358222,,,,,13595,26862,3924,61409
101/6,466125,,,,,15417,18751,3357,63441
94/3,287858,,,,,12759,17761,3972,37425
106/3,472505,133277,16236,749,61386,,,,
101/12,447929,,,,,11765,17108,1788,64552
