時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,288198,,,,,140037,5844,1454,47608
93/3,222312,,,,,,8544,1806,7912
110/12,333233,81251,11169,2589,37826,,,,
103/9,346711,,,,,99175,8511,1708,46221
93/12,288892,,,,,84935,11259,1894,10561
104/3,334752,,,,,89659,10992,1625,40577
105/12,304718,66762,7171,1034,31481,,,,
98/3,294581,,,,,80618,4709,1252,35234
103/6,353373,,,,,107182,7929,2242,44792
94/12,321599,,,,,102047,11191,1367,22337
105/9,303091,63199,7635,1191,31424,,,,
97/9,265835,,,,,73313,4898,1447,40678
103/3,369721,,,,,104456,9180,2637,44076
98/6,299499,,,,,128409,4629,1177,36923
100/6,373140,,,,,98523,6643,2696,60752
109/9,312163,81783,15161,1588,36504,,,,
106/12,306897,61966,6734,1469,29429,,,,
100/3,354353,,,,,105154,6134,1867,62433
109/3,312273,75212,14440,1404,30243,,,,
103/12,335025,,,,,97808,9658,1461,42196
107/9,313114,73205,9004,2007,30559,,,,
95/9,310448,,,,,105037,7109,1716,32376
109/6,320456,81658,15561,2250,32636,,,,
108/12,306180,73743,16557,826,31498,,,,
100/9,363374,,,,,97308,5777,2840,49271
108/6,315809,72292,13379,1432,32725,,,,
108/3,313987,69912,12053,1245,32521,,,,
97/3,274540,,,,,72252,4764,1598,41393
105/3,306886,,,,,82302,11252,1852,33294
96/12,286890,,,,,71546,5043,1446,43621
108/9,308614,74967,13749,1840,31442,,,,
107/12,311579,74356,8680,1863,31262,,,,
107/6,312048,65221,5873,1756,30093,,,,
95/6,318935,,,,,200301,7140,1529,29455
95/12,314340,,,,,73641,5980,1854,35210
99/6,330175,,,,,98658,4630,2087,59391
102/3,388432,,,,,111420,11067,1131,47829
102/6,427776,,,,,117906,9660,2182,47150
99/12,351505,,,,,110635,4522,2726,61355
99/3,318190,,,,,111977,4499,1977,54206
104/12,321842,,,,,88255,10972,1340,33085
102/9,376357,,,,,24925,9138,2180,46471
105/6,306044,71583,9716,1094,33171,,,,
97/6,272690,,,,,64414,5834,1743,41650
95/3,321517,,,,,126187,10595,1389,24457
107/3,309179,61660,5528,1929,29377,,,,
99/9,340822,,,,,100232,5113,3764,57437
109/12,311556,78919,14175,1821,35354,,,,
101/9,379170,,,,,115093,11997,1790,49591
100/12,371209,,,,,105461,6992,1959,47719
104/9,333206,,,,,87223,11210,1781,37549
96/9,304227,,,,,72423,4540,1404,46647
102/12,352197,,,,,9287,9330,2527,44946
106/9,313931,70671,6513,1261,31215,,,,
94/9,298806,,,,,98726,11854,1487,17329
110/9,316677,83853,11678,2454,36932,,,,
110/6,323260,75890,12526,3563,36273,,,,
111/12,348812,111439,9883,3203,41978,,,,
110/3,318438,70632,12981,2421,36819,,,,
111/3,336039,78417,10371,2496,38604,,,,
96/3,319413,,,,,82205,10046,2249,43678
111/6,339113,85824,9234,2204,39567,,,,
106/6,307112,67901,6599,758,32505,,,,
94/6,314399,,,,,96004,9695,1656,15145
101/3,372586,,,,,104264,7289,2097,48205
111/9,348956,109981,8321,3006,42282,,,,
98/12,304879,,,,,110389,4466,2002,52894
97/12,280467,,,,,88361,4848,452,36736
112/9,341031,127072,9408,1906,43383,,,,
104/6,327408,,,,,85641,9752,1149,38110
96/6,312678,,,,,81248,5141,1431,44054
101/6,385687,,,,,107144,11173,1802,48697
94/3,298681,,,,,83823,12615,1840,13958
106/3,308154,69236,7228,1125,31675,,,,
112/3,338227,110408,10828,2762,41890,,,,
101/12,372161,,,,,122287,11227,1464,49520
112/6,342140,119275,10331,2756,43201,,,,
