時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
93/12,187556,,,,,7822,2441,1090,9222
94/12,195289,,,,,5834,1737,1068,12523
95/9,186458,,,,,11013,1050,1637,17280
97/3,79302,,,,,9679,596,467,22633
96/12,82545,,,,,9408,712,541,22740
95/6,189174,,,,,7623,1480,1131,15877
95/12,181268,,,,,12123,962,1227,18627
95/3,192521,,,,,6920,1509,931,14245
96/9,92248,,,,,9428,865,489,22041
94/9,197617,,,,,7514,1912,1190,10329
96/3,150499,,,,,11632,885,766,18873
94/6,192870,,,,,7514,2229,1065,9150
96/6,135854,,,,,10067,920,808,20130
94/3,195455,,,,,7514,2404,1233,9247
