時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,1460299,,,,,312012,27900,24526,264146
93/3,1309730,,,,,28226,33817,29924,43753
110/12,2540034,716789,57008,27111,410135,,,,
103/9,1807631,,,,,770051,31162,26219,258198
93/12,1322106,,,,,51635,32076,34320,46491
104/3,1978688,,,,,706118,32238,23055,252297
105/12,2044675,673395,44627,23053,249231,,,,
98/3,1420375,,,,,290435,29454,19229,236926
103/6,1787593,,,,,771183,28943,26733,255373
94/12,1333875,,,,,77986,37704,29764,53432
105/9,1981147,631712,43023,20166,247490,,,,
97/9,1390344,,,,,219556,29033,23229,243053
103/3,1774080,,,,,759243,28833,26912,251432
98/6,1441536,,,,,295877,28801,22188,246407
100/6,1547942,,,,,503284,29810,27583,262672
109/9,2215003,656451,59939,20739,380229,,,,
106/12,2035394,669190,40994,24509,268673,,,,
100/3,1517587,,,,,615622,31364,33102,256003
109/3,2185282,702725,57278,22065,392113,,,,
103/12,1842801,,,,,613259,31530,25944,253009
107/9,2084513,651845,47002,27583,276080,,,,
95/9,1352087,,,,,151227,35601,30853,64318
109/6,2201052,642157,59791,20482,380377,,,,
108/12,2125978,659164,52824,21515,363433,,,,
100/9,1577977,,,,,475626,30198,28375,260370
108/6,2113360,683153,50587,26614,314884,,,,
108/3,2074866,690801,46211,25299,281535,,,,
97/3,1317402,,,,,185639,30051,33223,279068
105/3,1992563,,,,,726067,34976,21625,255867
96/12,1326534,,,,,162926,32437,30034,103552
108/9,2119519,609477,50473,25690,348187,,,,
107/12,2070629,685953,45848,23321,273725,,,,
107/6,2094612,692054,41167,24192,277248,,,,
95/6,1313855,,,,,135281,36320,30905,61051
95/12,1366415,,,,,136009,35434,28094,68896
99/6,1473326,,,,,409838,32050,32250,263604
102/3,1630572,,,,,161647,28496,26685,271596
102/6,1683479,,,,,145848,27990,22436,259999
99/12,1531188,,,,,470470,31270,29094,264972
99/3,1447097,,,,,433833,31951,28954,268207
104/12,1951980,,,,,766356,34839,17841,261132
102/9,1678083,,,,,133477,27420,22477,250579
105/6,1955677,626615,39342,22502,253113,,,,
97/6,1314445,,,,,214037,30192,30871,281037
95/3,1338592,,,,,79024,35518,31373,55202
107/3,2066118,632621,44369,25092,271267,,,,
99/9,1482100,,,,,421855,32220,28929,265830
109/12,2303463,766901,58294,22392,377590,,,,
101/9,1618167,,,,,167513,28770,24565,253758
100/12,1599953,,,,,238463,30497,25200,250085
104/9,1931312,,,,,718926,35167,20555,253182
96/9,1342851,,,,,168598,33307,28907,95402
102/12,1719741,,,,,136683,28761,24074,247962
106/9,2024561,627463,41784,27809,264233,,,,
94/9,1274017,,,,,69680,36610,33712,52583
110/9,2430469,643671,57072,26986,403672,,,,
110/6,2407540,627837,55990,27835,399530,,,,
111/12,2669495,801102,55099,20023,437291,,,,
110/3,2397598,673674,59791,24176,391399,,,,
111/3,2629341,703944,64530,35385,434371,,,,
96/3,1358125,,,,,142197,34379,30943,75430
111/6,2638933,707563,64259,31982,438350,,,,
106/6,2008096,631282,40626,23384,252555,,,,
94/6,1267756,,,,,52485,34388,31919,50832
101/3,1615446,,,,,186887,30310,28874,246039
111/9,2727494,711432,60088,28472,452204,,,,
98/12,1489234,,,,,412479,32310,26578,271702
97/12,1411424,,,,,210483,29974,19375,224995
112/9,2768553,791713,58602,23796,489316,,,,
104/6,1864773,,,,,740485,33316,21798,262080
96/6,1357443,,,,,167229,34152,29821,87438
101/6,1606998,,,,,202972,29662,28366,245278
94/3,1274229,,,,,50872,32716,35691,48757
106/3,2005337,646151,45313,24170,249612,,,,
112/3,2727780,753780,55878,27945,448992,,,,
101/12,1632038,,,,,159693,29639,23172,260916
112/6,2695703,724896,58627,20689,462351,,,,
