時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
93/3,250539,,,,,,11773,3192,23372
93/12,278691,,,,,102045,9400,3674,33322
94/12,310214,,,,,111310,10066,2835,48609
95/9,343771,,,,,85338,9916,5171,55832
95/6,336056,,,,,98039,9455,4190,59852
95/12,346003,,,,,82946,9535,4895,56688
95/3,321835,,,,,108493,10186,3506,49680
94/9,301526,,,,,108872,9317,3607,52655
96/3,345264,,,,,11364,11343,6135,60408
94/6,311320,,,,,96595,8548,3386,41012
96/6,355309,,,,,9167,9772,5294,64851
94/3,289016,,,,,94686,8987,4173,36541
