時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,51316,,,,,923,122,161,2415
93/3,150351,,,,,,2106,1019,3424
93/12,151620,,,,,5653,1391,1146,3210
98/3,73427,,,,,1515,240,236,2448
94/12,155497,,,,,6507,1346,793,3887
97/9,81776,,,,,1920,334,401,2886
98/6,54746,,,,,956,225,270,2443
95/9,149074,,,,,5292,917,662,5115
97/3,92320,,,,,3771,747,434,4004
96/12,97595,,,,,3874,803,806,4495
95/6,147378,,,,,5333,1110,1145,4734
95/12,145939,,,,,7293,940,586,5608
99/3,39161,,,,,256,94,10,1933
97/6,84617,,,,,1962,516,486,3446
95/3,149618,,,,,5678,1225,764,4454
96/9,108605,,,,,5497,644,537,5200
94/9,154369,,,,,6637,1468,792,3615
96/3,128826,,,,,5798,802,946,5115
94/6,157062,,,,,4264,1340,1127,3307
98/12,47109,,,,,278,117,50,2200
97/12,73082,,,,,1651,281,42,2596
96/6,119456,,,,,7739,729,707,5038
94/3,156697,,,,,3955,1282,1199,3277
