時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
93/3,375237,,,,,76932,8471,3665,20480
93/12,395737,,,,,90409,7406,2261,22856
94/12,402730,,,,,76039,8486,2271,34358
95/9,429815,,,,,84567,9196,2159,61311
95/6,418889,,,,,71529,9017,2276,50452
95/12,430615,,,,,80948,8478,1983,76590
95/3,401876,,,,,77093,8656,2261,43189
94/9,401472,,,,,78820,7926,2916,27825
96/3,421491,,,,,78187,9149,2846,90024
94/6,398296,,,,,81594,6637,2887,23380
96/6,554825,,,,,80816,20025,8294,148946
94/3,401429,,,,,81104,7325,2419,22761
