時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
110/12,281900,59250,2276,184,44079,,,,
109/9,264940,66026,1958,316,41770,,,,
109/3,264604,72925,1483,203,37114,,,,
109/6,266334,70566,1779,329,38334,,,,
108/12,260839,71065,1495,233,37596,,,,
108/6,251510,68544,1057,241,35081,,,,
108/9,257460,71516,1013,406,36603,,,,
109/12,273363,66853,1871,433,45256,,,,
110/9,277385,67284,2420,263,44435,,,,
110/6,278062,72191,2580,428,45754,,,,
111/12,277033,49905,1050,149,48473,,,,
110/3,274103,70840,2755,365,47083,,,,
111/3,275573,58888,1608,286,46638,,,,
111/6,279734,52125,1390,242,47515,,,,
111/9,284702,51707,1159,327,48936,,,,
112/3,258151,53828,943,70,48798,,,,
