時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,195663,,,,,37655,2625,662,29583
93/3,250691,,,,,,4910,4043,11391
103/9,215534,,,,,70337,558,1247,30183
93/12,272840,,,,,65542,5863,2075,
104/3,222799,,,,,67417,598,580,29679
105/12,231554,72797,411,609,30796,,,,
98/3,206166,,,,,56819,1652,330,32095
103/6,212672,,,,,72777,486,556,30067
94/12,288365,,,,,70692,9789,1914,25070
105/9,225600,70398,417,736,29365,,,,
97/9,224135,,,,,55836,2285,888,42295
103/3,207418,,,,,72105,481,592,28174
98/6,199493,,,,,39787,1370,516,31324
100/6,199831,,,,,50962,1363,865,31596
106/12,235983,70400,878,398,30026,,,,
100/3,201250,,,,,48529,1799,1228,30676
103/12,215616,,,,,67892,662,1030,29956
107/9,248343,68125,923,459,33111,,,,
95/9,266652,,,,,53241,4921,1727,40634
100/9,202616,,,,,52479,1292,1140,32852
108/3,248514,64950,1056,339,34171,,,,
97/3,241211,,,,,17031,2409,2372,46459
105/3,222702,,,,,70215,428,444,29590
96/12,241264,,,,,17610,2427,2058,47174
107/12,245670,72253,1131,352,33238,,,,
107/6,241957,70914,945,316,33566,,,,
95/6,271122,,,,,55982,6891,1444,36259
95/12,258108,,,,,55572,4000,1043,40591
99/6,199593,,,,,45642,3470,540,30793
102/3,203662,,,,,60162,549,486,27533
102/6,205736,,,,,64059,355,613,26632
99/12,205771,,,,,45811,1564,1004,31318
99/3,196876,,,,,47606,3268,651,31083
104/12,221674,,,,,69239,449,271,30032
102/9,201311,,,,,69112,578,581,27061
105/6,221492,71942,304,614,31602,,,,
97/6,229935,,,,,49479,2112,1697,46008
95/3,292343,,,,,63113,8142,1648,30270
107/3,238773,69518,963,369,33010,,,,
99/9,208707,,,,,43761,2162,788,31339
101/9,199019,,,,,56999,722,744,31452
100/12,207230,,,,,59986,970,579,30884
104/9,229426,,,,,70976,409,736,32734
96/9,240234,,,,,17769,1857,1232,50636
102/12,205019,,,,,68133,541,645,27694
106/9,236687,67497,863,228,29275,,,,
94/9,288455,,,,,70676,8720,1695,23189
96/3,234055,,,,,21895,3111,1638,41271
106/6,227226,72752,931,487,29759,,,,
94/6,284089,,,,,63670,7851,2433,21147
101/3,206222,,,,,66665,990,739,28556
98/12,189266,,,,,37905,2554,493,30439
97/12,226676,,,,,58691,1798,489,34467
104/6,223336,,,,,68393,316,624,33086
96/6,238510,,,,,19660,2197,1821,46206
101/6,201884,,,,,63645,765,953,30634
94/3,289728,,,,,58492,7748,3275,19487
106/3,230566,73613,401,552,29552,,,,
101/12,202203,,,,,58741,660,404,28871
