時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
110/12,428043,124979,30929,2399,83847,,,,
103/9,318452,,,,,88681,20868,4720,22480
104/3,354943,,,,,91101,16753,3771,23238
105/12,358858,115047,14402,2391,24272,,,,
103/6,306196,,,,,88399,16830,8653,20952
105/9,357050,99785,16481,3107,23348,,,,
103/3,322380,,,,,96906,15634,3366,20143
109/9,441685,135538,25319,2237,72367,,,,
106/12,446257,117308,11801,2059,57155,,,,
109/3,422268,137207,24102,1405,56797,,,,
103/12,338038,,,,,92819,14303,7863,22776
107/9,445785,132437,11023,1639,59334,,,,
109/6,435080,144576,21749,1831,67030,,,,
108/12,420829,151537,21048,1477,66663,,,,
108/6,432101,139815,16466,1985,59774,,,,
108/3,473188,122647,13819,1925,58149,,,,
105/3,340818,,,,,100322,17675,1970,21258
108/9,439733,139133,16539,1775,62885,,,,
107/12,453536,132299,13089,1872,53651,,,,
107/6,445004,126663,11428,1196,58131,,,,
102/3,272086,,,,,89705,14646,3197,19137
102/6,291718,,,,,17646,10907,3000,18316
104/12,367764,,,,,116809,18850,2539,21194
102/9,319247,,,,,18266,19070,3395,18415
105/6,353342,98050,18453,2656,21846,,,,
107/3,472061,116083,11597,1401,55316,,,,
109/12,415641,130819,26575,2504,72379,,,,
101/9,248585,,,,,79562,17340,2849,17351
104/9,391089,,,,,103027,20364,3522,20672
102/12,318154,,,,,20480,18906,3473,18684
106/9,364350,97695,11994,1799,25168,,,,
110/9,447916,115682,29498,1961,84440,,,,
110/6,434219,118796,27408,2750,83443,,,,
111/12,492403,174510,28192,764,79631,,,,
110/3,418940,124573,29091,2765,80469,,,,
111/3,438827,127142,34563,2875,83917,,,,
111/6,460314,135292,32507,2238,76515,,,,
106/6,346030,97272,10239,1648,25565,,,,
101/3,224444,,,,,85088,15389,2364,16903
111/9,497138,150323,29422,1323,79493,,,,
112/9,867570,211121,40879,654,287246,,,,
104/6,354231,,,,,89586,19912,3542,23475
101/6,251293,,,,,77396,18363,3428,16645
106/3,366843,105499,10944,2069,24734,,,,
112/3,477373,169035,34137,834,87417,,,,
101/12,264850,,,,,82122,14952,3077,18065
112/6,560666,167306,38312,977,91939,,,,
