時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,168403,,,,,15059,3559,1319,32714
93/3,137444,,,,,3064,4921,1333,5168
110/12,285128,97719,8344,3339,52394,,,,
103/9,203857,,,,,55028,3603,1272,47647
93/12,148675,,,,,2681,3748,1686,6686
104/3,200326,,,,,54231,4267,1146,45240
105/12,231310,53756,3772,1046,43916,,,,
98/3,168402,,,,,15274,4178,569,30280
103/6,179003,,,,,54176,3426,1172,46674
94/12,177529,,,,,5092,5125,1303,12313
105/9,226373,64105,3615,1072,45833,,,,
97/9,164082,,,,,7169,4868,1137,30843
103/3,171873,,,,,62814,2756,1016,46192
98/6,164883,,,,,14971,3592,1066,31866
100/6,160417,,,,,11757,2046,1300,27609
109/9,259861,83084,3293,1719,43640,,,,
106/12,238958,59669,2897,985,42556,,,,
100/3,158224,,,,,10920,2304,1490,28238
109/3,253238,76796,3514,2329,40864,,,,
103/12,204863,,,,,52905,4059,1052,47611
107/9,243931,62434,2813,1769,42847,,,,
95/9,188205,,,,,4853,5266,2130,21453
109/6,251886,76837,3477,1471,43059,,,,
108/12,252092,76050,3420,1484,42233,,,,
100/9,160847,,,,,11915,2693,1689,29629
108/6,246359,73877,2848,1235,42199,,,,
108/3,245344,69543,2820,1657,40170,,,,
97/3,172003,,,,,7780,4470,1544,31828
105/3,209804,,,,,67941,3487,847,44243
96/12,171934,,,,,8703,4711,1750,33439
108/9,250919,74059,2866,1611,42531,,,,
107/12,244844,63967,2855,1346,40847,,,,
107/6,245483,63808,2709,1127,41436,,,,
95/6,187458,,,,,5437,5194,1583,19123
95/12,191204,,,,,3293,5727,1621,23267
99/6,165334,,,,,15520,2446,1479,31673
102/3,161274,,,,,10271,3106,1104,37736
102/6,163578,,,,,10430,3413,1116,42000
99/12,156793,,,,,11701,2464,1289,28043
99/3,162996,,,,,14590,2514,1120,31637
104/12,209684,,,,,66346,3761,1098,44256
102/9,162897,,,,,10880,3147,995,45163
105/6,216008,67968,3542,1230,45184,,,,
97/6,165737,,,,,6340,4076,1300,33435
95/3,183252,,,,,6339,5099,1499,14415
107/3,238843,61160,3412,1257,41928,,,,
99/9,160113,,,,,12322,1795,1551,31405
109/12,270707,92215,4924,1692,45028,,,,
101/9,160531,,,,,10390,2514,1156,34530
100/12,160256,,,,,12445,2661,904,28987
104/9,204651,,,,,61845,3767,1016,47105
96/9,180324,,,,,4100,5309,2237,34967
102/12,163136,,,,,10334,2421,990,43688
106/9,233780,57398,3269,941,42744,,,,
94/9,169031,,,,,4309,4599,1534,10573
110/9,283821,111003,8383,3291,48766,,,,
110/6,281035,98618,7302,2620,49649,,,,
111/12,306124,88173,7941,2923,57648,,,,
110/3,280846,95204,6289,2640,47646,,,,
111/3,290290,97841,8320,3249,51666,,,,
96/3,185298,,,,,3038,5381,1855,25531
111/6,294813,103215,8137,7042,55270,,,,
106/6,231889,57392,2521,986,43793,,,,
94/6,161668,,,,,4612,4106,1860,9557
101/3,156149,,,,,11263,2429,1296,29970
111/9,298760,91736,8028,4577,56928,,,,
98/12,162263,,,,,14782,3111,865,32013
97/12,167853,,,,,7829,4088,681,29795
112/9,314551,91860,8247,3764,62311,,,,
104/6,199569,,,,,56408,4146,909,45884
96/6,185243,,,,,9483,4408,1756,31949
101/6,159274,,,,,11252,2790,1255,31279
94/3,159328,,,,,3938,4221,1882,6839
106/3,224297,56598,3895,960,43433,,,,
112/3,303453,86234,8088,2506,58300,,,,
101/12,160391,,,,,10968,2518,1120,34528
112/6,304488,84737,8567,4304,59239,,,,
