時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,973781,,,,,22229,13466,5036,302451
110/12,2118881,416177,39560,7407,631454,,,,
103/9,1395061,,,,,385956,18040,7031,221205
104/3,1413612,,,,,411880,16038,5531,247436
105/12,1488863,402129,15575,3305,248341,,,,
98/3,980302,,,,,22062,15300,3825,321978
103/6,1406417,,,,,382938,18511,5873,218160
105/9,1455185,407338,16640,3576,252571,,,,
97/9,989448,,,,,22343,18099,5692,348651
103/3,1432203,,,,,522111,17888,6261,215604
98/6,979367,,,,,22507,13632,5073,306735
100/6,1190847,,,,,14238,11749,6034,233748
109/9,1886811,410576,26337,3619,548866,,,,
106/12,1441303,372202,18048,4489,242898,,,,
100/3,1170036,,,,,14792,13678,7659,229497
109/3,1820626,398213,22011,3339,527009,,,,
103/12,1406889,,,,,394508,17125,6303,239954
107/9,1493934,373183,14980,3592,272727,,,,
109/6,1855789,410629,24057,3453,524299,,,,
108/12,1696271,426150,19572,3335,511537,,,,
100/9,1199002,,,,,16218,14727,6431,223786
108/6,1656124,425677,17622,3991,407044,,,,
108/3,1612665,420830,16558,5048,364697,,,,
97/3,1029199,,,,,24361,19879,7819,380324
105/3,1453324,,,,,377684,19090,4248,269915
96/12,999939,,,,,24215,20418,7089,180519
108/9,1703643,445290,18391,3240,494934,,,,
107/12,1524573,373569,15990,3742,292991,,,,
107/6,1514747,416653,17235,3089,264767,,,,
95/12,996052,,,,,25995,16512,8096,150466
99/6,1098381,,,,,20280,14229,7085,298524
102/3,1338303,,,,,16807,18422,7034,205940
102/6,1334001,,,,,15062,17997,6583,203448
99/12,1159617,,,,,18073,13715,5494,240402
99/3,1067464,,,,,20129,15661,7839,312385
104/12,1419533,,,,,368335,16660,4591,269125
102/9,1322097,,,,,17720,18144,6894,204508
105/6,1446760,396607,18239,4448,265990,,,,
97/6,1013900,,,,,23507,16811,7197,378143
107/3,1531231,430636,20408,4269,248358,,,,
99/9,1152125,,,,,20065,12885,6801,281559
109/12,1983297,414955,30760,5434,529514,,,,
101/9,1231441,,,,,12609,17887,6697,197852
100/12,1204284,,,,,16291,12507,6500,200772
104/9,1448371,,,,,353748,16384,5917,249827
96/9,1002829,,,,,24137,18419,6906,174174
102/12,1352819,,,,,17788,17631,5293,209328
106/9,1510864,422469,15439,3222,250299,,,,
110/9,2029764,385569,36626,8533,588218,,,,
110/6,2052364,382481,33451,7544,584617,,,,
111/12,2356536,453350,33517,7728,726153,,,,
110/3,2076547,399325,34915,6669,559120,,,,
111/3,2158903,407009,37706,8037,681136,,,,
96/3,1003092,,,,,25207,16870,7870,158038
111/6,2128043,456650,35701,7071,701761,,,,
106/6,1526510,379854,15607,3302,249157,,,,
101/3,1214958,,,,,11084,14394,6145,197569
111/9,2259231,452269,31143,9197,738469,,,,
98/12,1029203,,,,,31160,13523,4761,315721
97/12,984472,,,,,21974,15575,3484,318839
112/9,2457571,467921,32521,5069,954971,,,,
104/6,1404786,,,,,336687,16651,5543,252528
96/6,1006945,,,,,23171,16489,7236,165371
101/6,1231854,,,,,10680,17700,6456,202745
106/3,1503311,382570,15555,3671,250709,,,,
112/3,2439718,480756,32553,6546,774031,,,,
101/12,1255209,,,,,14942,19900,5918,202874
112/6,2403042,455526,34090,6400,831615,,,,
