時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,604054,,,,,14545,10628,2728,126836
110/12,671394,118978,6959,714,112190,,,,
103/9,726406,,,,,143633,7058,2077,100096
104/3,728905,,,,,147951,6586,1727,97843
105/12,616552,133908,2713,887,89152,,,,
98/3,672360,,,,,17808,12342,1974,124938
103/6,716568,,,,,148643,6957,1903,101508
105/9,612295,132194,2823,714,89401,,,,
97/9,542130,,,,,42569,14145,10174,161705
103/3,772629,,,,,178342,7340,2336,102237
98/6,616700,,,,,14513,12397,2746,129388
100/6,741900,,,,,18075,6493,2653,132994
109/9,673436,115806,3632,855,102053,,,,
106/12,649913,113690,3272,1797,94425,,,,
100/3,714396,,,,,18471,7297,4247,132215
109/3,675422,125613,4153,1097,80090,,,,
103/12,770829,,,,,142807,6903,2401,100017
107/9,624419,87867,3614,1936,94417,,,,
109/6,654560,123494,3450,908,96631,,,,
108/12,621673,125134,3715,1500,102531,,,,
100/9,737761,,,,,18394,6453,2183,137835
108/6,641865,112535,3455,1774,99770,,,,
108/3,658123,118358,4054,2169,97203,,,,
97/3,514464,,,,,68547,15041,8253,168650
105/3,656091,,,,,155758,2762,1357,88521
96/12,486452,,,,,107370,17234,6968,177087
108/9,634363,119527,3338,2072,102124,,,,
107/12,626583,103756,4351,782,89390,,,,
107/6,607672,125625,3193,2002,92046,,,,
99/6,639452,,,,,17464,7951,4645,145874
102/3,758936,,,,,1809,7367,1883,111576
102/6,712948,,,,,1492,7139,2127,100311
99/12,702747,,,,,17386,6986,4537,143491
99/3,630718,,,,,19215,7773,2971,140341
104/12,669135,,,,,144565,2809,1155,89734
102/9,755883,,,,,3429,7221,2720,100487
105/6,624395,138485,2960,1137,88194,,,,
97/6,507512,,,,,62905,14849,9715,167735
107/3,629576,107061,2870,1947,90913,,,,
99/9,652190,,,,,17105,7456,3645,137777
109/12,715773,114456,3673,950,106201,,,,
101/9,723632,,,,,2483,7063,1749,123993
100/12,743855,,,,,20693,9390,2291,131949
104/9,731370,,,,,153748,2644,1358,87475
96/9,513004,,,,,42016,19223,7156,167281
102/12,757732,,,,,3927,7194,2167,101736
106/9,629149,121411,2861,1150,92578,,,,
110/9,667005,121184,6335,1002,112616,,,,
110/6,667344,113963,5122,973,116605,,,,
111/12,708765,147960,7118,580,104527,,,,
110/3,682708,113294,4476,1053,114034,,,,
111/3,696970,131679,7866,938,111196,,,,
111/6,709535,139390,6899,533,101130,,,,
106/6,621715,126742,2984,1634,89753,,,,
101/3,757268,,,,,19837,8523,2372,126862
111/9,801113,147511,7142,380,102585,,,,
98/12,616643,,,,,16879,8591,2789,141883
97/12,642407,,,,,17632,13492,2186,136409
112/9,758111,158869,7342,709,121198,,,,
104/6,713725,,,,,141399,6614,1733,95459
101/6,719965,,,,,2202,7523,2115,128713
106/3,611725,129228,3390,1146,88073,,,,
112/3,702088,150111,8168,1109,111574,,,,
101/12,735931,,,,,2177,7067,1879,112574
112/6,720584,161337,7172,636,117395,,,,
