時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
103/9,267590,,,,,169626,17595,3328,38351
104/3,298340,,,,,160087,14905,2949,38641
105/12,212790,106543,9758,1176,31903,,,,
103/6,302600,,,,,155858,17626,3612,39995
105/9,226219,107801,9782,1088,31893,,,,
103/3,291519,,,,,165315,17471,3870,43971
106/12,125675,42968,7730,618,133,,,,
103/12,342925,,,,,160579,16858,2912,38988
107/9,130530,50795,14019,408,,,,,
108/3,135009,65571,15972,281,,,,,
105/3,267659,,,,,130604,12025,1443,33463
107/12,137864,60982,16353,534,,,,,
107/6,135903,45102,8811,538,,,,,
102/6,320599,,,,,7141,17691,3616,40333
104/12,331392,,,,,143821,13997,1189,35476
102/9,341343,,,,,3327,17894,4315,39518
105/6,236278,122195,11011,1060,32052,,,,
107/3,140226,42085,6608,915,120,,,,
104/9,307654,,,,,149829,14404,1849,34645
102/12,327819,,,,,2859,18550,4875,39917
106/9,181310,65227,7028,668,35224,,,,
106/6,185833,73044,8324,868,33543,,,,
104/6,268543,,,,,130540,13839,2151,38188
106/3,184042,89910,8661,1088,32425,,,,
