時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,976775,,,,,238063,10022,7454,95487
93/3,343264,,,,,,6287,4741,22186
110/12,3131009,560313,33344,8698,923811,,,,
103/9,1501502,,,,,431040,15096,13303,321234
93/12,436518,,,,,117599,5310,3048,28289
104/3,1571614,,,,,453358,14636,10984,317476
105/12,1849774,497462,11842,9661,411660,,,,
98/3,960638,,,,,221704,10422,3992,83699
103/6,1487893,,,,,418669,15067,10185,308177
94/12,565167,,,,,146535,6952,3486,37780
105/9,1808897,486533,12722,8341,426771,,,,
97/9,913429,,,,,335030,13118,5864,113648
103/3,1437764,,,,,426163,14961,10628,295954
98/6,982263,,,,,223417,9981,5248,86975
100/6,1113302,,,,,280595,12657,9599,183669
109/9,2702931,560335,28847,7653,815846,,,,
106/12,2031780,479226,11490,9357,487593,,,,
100/3,1095261,,,,,277734,12806,13110,171346
109/3,2532999,570666,23904,10496,756170,,,,
103/12,1547324,,,,,428969,14820,12049,320251
107/9,2133091,513680,17630,11064,577086,,,,
95/9,697185,,,,,149586,7201,5646,53884
109/6,2627048,554141,27586,7385,781810,,,,
108/12,2430732,554910,24004,9719,770314,,,,
100/9,1158342,,,,,293887,11021,10809,205339
108/6,2328027,531409,21746,9053,709715,,,,
108/3,2311766,517826,20493,8911,701902,,,,
97/3,889544,,,,,214175,11645,8187,117714
105/3,1768701,,,,,484347,13594,10208,389066
96/12,863901,,,,,205279,11333,6452,92498
108/9,2409071,538057,23166,9863,733538,,,,
107/12,2229972,513750,19914,9357,625981,,,,
107/6,2116364,494058,19250,10292,557762,,,,
95/6,691645,,,,,144586,7250,4802,47357
95/12,739752,,,,,161194,11271,4703,58957
99/6,991281,,,,,285776,12554,9416,138115
102/3,1276443,,,,,357785,11153,11556,264056
102/6,1318513,,,,,356126,14862,10688,265982
99/12,1073669,,,,,283095,12511,10067,160904
99/3,966344,,,,,275655,11437,9857,129383
104/12,1748557,,,,,475877,15027,8823,387596
102/9,1313539,,,,,378592,13972,10452,267105
105/6,1806688,497491,13624,8429,412555,,,,
97/6,909119,,,,,216975,11491,8140,115243
95/3,657736,,,,,143601,6826,4374,41763
107/3,2074276,492643,11701,10505,535772,,,,
99/9,1006135,,,,,259647,13660,9750,149358
109/12,2885978,553417,28428,7874,837635,,,,
101/9,1188832,,,,,348513,10480,10427,244407
100/12,1146478,,,,,320898,11023,9081,210166
104/9,1702280,,,,,476718,16696,9294,353506
96/9,838772,,,,,184744,11869,5726,86995
102/12,1360472,,,,,376908,13423,10720,270195
106/9,1997932,490853,12102,10062,462978,,,,
94/9,516173,,,,,136829,5656,3452,35545
110/9,2964001,542385,32682,10412,893451,,,,
110/6,2909453,517789,28750,11455,906671,,,,
111/12,3381413,696345,25835,10254,1039964,,,,
110/3,2843973,567903,28775,10068,908326,,,,
111/3,3191943,615901,32464,13102,994697,,,,
96/3,780253,,,,,173406,9046,6132,67074
111/6,3248400,622487,30584,12039,1005798,,,,
106/6,1962996,482132,12655,9417,443355,,,,
94/6,494321,,,,,133534,5497,3464,32141
101/3,1171914,,,,,337727,10589,9055,229151
111/9,3398671,671352,29528,10887,1028873,,,,
98/12,934591,,,,,273296,10271,7610,107688
97/12,912521,,,,,231926,11003,3791,99746
112/9,3488098,744066,21488,8615,1246502,,,,
104/6,1659998,,,,,464038,14163,11024,345634
96/6,812878,,,,,830770,10409,7641,76652
101/6,1175000,,,,,318226,10113,11491,243198
94/3,443985,,,,,128150,5846,4306,32477
106/3,1879448,483989,11815,10425,432015,,,,
112/3,3328917,718366,22919,9741,1061003,,,,
101/12,1235287,,,,,360470,10507,11016,242282
112/6,3455014,709134,23104,9626,1157402,,,,
