時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
110/12,315068,47740,34469,1977,12226,,,,
109/9,340808,43068,32530,686,12991,,,,
106/12,294995,47243,9139,2496,2669,,,,
109/3,338245,42337,22811,584,12652,,,,
107/9,333656,54344,14519,1707,6383,,,,
109/6,348766,38006,28259,509,12312,,,,
108/12,335251,52430,20259,1241,12808,,,,
108/6,339175,56218,20828,1789,11879,,,,
108/3,342159,55233,17723,1507,13374,,,,
108/9,327179,54061,21357,1231,12739,,,,
107/12,334358,51883,15437,1648,13072,,,,
107/6,319685,52317,12700,2201,6121,,,,
107/3,312126,51257,12541,2352,2945,,,,
109/12,328855,42771,35813,635,14258,,,,
106/9,301767,52039,6336,2330,2642,,,,
110/9,316356,44019,36774,983,12574,,,,
110/6,316939,41740,37199,1513,12861,,,,
111/12,355975,62896,20147,1033,13129,,,,
110/3,321244,45047,39072,1598,11891,,,,
111/3,324561,53954,33406,967,13979,,,,
111/6,345259,55661,26392,2800,13751,,,,
106/6,276754,55404,6527,2113,1976,,,,
111/9,367132,58395,23357,1604,14277,,,,
112/9,387680,67746,26797,1650,12597,,,,
106/3,255034,62493,6349,2055,6143,,,,
112/3,379792,67951,21398,2669,13487,,,,
112/6,387274,60950,27305,2306,13454,,,,
