時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
110/12,92163,17182,275,28,13476,,,,
103/9,71812,,,,,16538,354,25,7409
104/3,76524,,,,,16782,332,39,8335
105/12,79901,17053,481,14,8086,,,,
103/6,72238,,,,,15569,616,38,3853
105/9,77675,17016,494,1,8521,,,,
103/3,69548,,,,,15165,327,89,3544
109/9,92797,15445,588,5,11353,,,,
106/12,87192,15171,576,13,9642,,,,
109/3,93484,14778,713,21,11114,,,,
103/12,76024,,,,,15651,363,46,8608
107/9,88646,15396,629,20,9483,,,,
109/6,92606,15274,692,11,11759,,,,
108/12,92616,15012,893,1,12090,,,,
108/6,87695,16129,705,15,10177,,,,
108/3,89179,15718,500,20,10119,,,,
105/3,75856,,,,,16843,626,8,9471
108/9,93052,16002,405,4,10629,,,,
107/12,86891,16086,461,,9911,,,,
107/6,87490,15139,631,20,11379,,,,
104/12,77987,,,,,16328,1008,10,9322
105/6,75911,16671,546,9,9710,,,,
107/3,88460,14689,808,11,9733,,,,
109/12,89462,16422,544,11,11840,,,,
104/9,79550,,,,,17116,908,20,9368
102/12,67925,,,,,15149,177,26,3006
106/9,83120,15687,519,11,8924,,,,
110/9,90178,16784,383,28,12932,,,,
110/6,88583,16140,242,7,12570,,,,
111/12,88720,19818,24,7,14913,,,,
110/3,89395,16212,291,11,12733,,,,
111/3,91032,17652,275,44,13937,,,,
111/6,91135,17652,175,14,14444,,,,
106/6,79886,16905,311,17,8796,,,,
111/9,91914,18189,13,12,14483,,,,
112/9,87201,19709,753,7,16540,,,,
104/6,77172,,,,,17648,817,10,9455
106/3,79918,17181,295,9,8138,,,,
112/3,87319,19418,96,41,15124,,,,
112/6,87842,19676,478,30,15918,,,,
