時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,1897277,,,,,47276,31838,28484,635965
93/3,1442475,,,,,22097,36187,36303,180705
110/12,3588454,1079587,93989,38331,798000,,,,
103/9,2247658,,,,,1086658,71969,31687,764131
93/12,1539709,,,,,35309,34402,31297,204782
104/3,2276468,,,,,1089931,75694,28508,726583
105/12,2469288,941197,71117,32332,752113,,,,
98/3,1802264,,,,,49439,28318,21324,673134
103/6,2260642,,,,,1106595,71119,33859,807024
94/12,1573677,,,,,43373,31275,26384,225711
105/9,2455740,944793,73788,31684,770435,,,,
97/9,1878617,,,,,52998,25385,27681,579684
103/3,2232463,,,,,1152385,73891,33370,746542
98/6,1864267,,,,,47236,28415,24818,649644
100/6,1957202,,,,,40266,52943,40628,622961
109/9,3283354,952125,83982,29347,827120,,,,
106/12,2554286,797492,63564,32843,673826,,,,
100/3,1978048,,,,,47760,50876,41481,608354
109/3,3103106,875758,74866,28303,779731,,,,
103/12,2280338,,,,,1063359,73775,31039,706941
107/9,2786519,841060,63196,38626,677985,,,,
95/9,1648184,,,,,51360,29835,30650,274782
109/6,3182037,908799,80706,26290,779467,,,,
108/12,3095752,900471,71469,26606,827453,,,,
100/9,2058431,,,,,41603,56094,38126,676789
108/6,2897051,921679,64260,31066,696408,,,,
108/3,2957384,889971,63443,36026,686985,,,,
97/3,1804893,,,,,46127,31772,35198,699162
105/3,2400040,,,,,958009,78701,31217,782376
96/12,1739674,,,,,50725,29149,32427,380282
108/9,2929731,920736,69246,30013,776554,,,,
107/12,2842872,891067,65044,34461,656959,,,,
107/6,2775915,862528,59445,35569,674871,,,,
95/6,1589910,,,,,47282,29573,32125,260409
95/12,1693731,,,,,43570,28615,33226,292883
99/6,1909500,,,,,50794,39261,40212,676918
102/3,2080898,,,,,37108,68999,34949,726070
102/6,2103120,,,,,34905,69612,34764,731048
99/12,1992018,,,,,44886,50722,38068,620669
99/3,1910099,,,,,48389,38501,37269,667291
104/12,2419901,,,,,907033,80246,24158,789031
102/9,2139978,,,,,31016,68682,30655,726574
105/6,2412035,950505,77695,31637,787994,,,,
97/6,1750011,,,,,48044,28631,35263,696205
95/3,1637756,,,,,45200,29796,26110,233760
107/3,2568436,854134,61206,35817,679564,,,,
99/9,1956817,,,,,49395,44896,39712,627187
109/12,3422037,1001088,82214,34612,856900,,,,
101/9,2029422,,,,,35591,66760,33665,671160
100/12,2024215,,,,,41508,63804,35246,664903
104/9,2390282,,,,,910587,79808,26547,784557
96/9,1772291,,,,,48355,28642,32335,370613
102/12,2190815,,,,,32835,71909,31152,735784
106/9,2508924,906303,68190,34387,698294,,,,
94/9,1545325,,,,,41384,32789,27536,225212
110/9,3486217,1034978,92319,40295,802451,,,,
110/6,3459010,950394,84842,42398,886915,,,,
111/12,4011862,1190829,105697,34870,923196,,,,
110/3,3464324,960777,85856,38553,900489,,,,
111/3,3764526,1079652,95679,45570,839751,,,,
96/3,1686650,,,,,42529,28543,31860,316813
111/6,3819393,1088148,103760,40033,848097,,,,
106/6,2480319,917993,68457,29053,717077,,,,
94/6,1561611,,,,,40142,32921,29027,206223
101/3,2034706,,,,,37578,63665,41935,662616
111/9,3876079,1197257,106789,37401,890170,,,,
98/12,1921751,,,,,48281,36868,33409,644002
97/12,1953020,,,,,48080,26083,18747,559444
112/9,4202650,1356636,105497,32061,995443,,,,
104/6,2305483,,,,,1102402,79338,28032,797232
96/6,1757916,,,,,47640,27291,32295,340523
101/6,2039593,,,,,38253,67271,36404,657376
94/3,1547322,,,,,34463,33559,32904,204757
106/3,2492240,891325,68302,34239,709947,,,,
112/3,4105441,1196877,109713,33458,930157,,,,
101/12,2060051,,,,,34837,68229,35239,693477
112/6,4083958,1306506,105237,28142,954139,,,,
