時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,356363,,,,,975,5421,483,50394
93/3,216752,,,,,,7207,1825,10094
110/12,826342,135637,18797,1874,93974,,,,
103/9,474755,,,,,83810,16209,755,60325
93/12,247068,,,,,970,8384,1537,13270
104/3,489851,,,,,105980,15608,708,57250
105/12,525130,109698,10270,860,59975,,,,
98/3,359049,,,,,934,6023,604,47232
103/6,465924,,,,,73288,15679,722,59878
94/12,335369,,,,,822,8954,1438,18275
105/9,525910,98010,17859,773,58930,,,,
97/9,370053,,,,,1180,7444,832,53099
103/3,458287,,,,,69934,14830,805,59080
98/6,352709,,,,,900,6335,668,48801
100/6,377905,,,,,92,10406,970,49685
109/9,755619,118656,22056,923,85920,,,,
106/12,560507,85654,13804,1241,68286,,,,
100/3,382209,,,,,106,10025,666,51419
109/3,707290,110527,21950,713,81355,,,,
103/12,486145,,,,,120749,13189,967,58538
107/9,607600,86032,21398,968,71432,,,,
95/9,345902,,,,,972,8403,1129,24901
109/6,742514,110077,23633,1047,82020,,,,
108/12,691436,115315,15348,894,75781,,,,
100/9,396010,,,,,94,11233,1078,52972
108/6,659570,100748,21393,848,73593,,,,
108/3,648348,92509,21752,1337,72331,,,,
97/3,365998,,,,,721,7757,1470,58782
105/3,515206,,,,,95003,15938,598,57551
96/12,363637,,,,,493,7326,1138,45103
108/9,692673,102559,22172,1180,76332,,,,
107/12,640095,101075,14699,822,71599,,,,
107/6,577279,87094,20522,1009,70970,,,,
95/6,329965,,,,,964,8373,1455,22182
95/12,366008,,,,,1063,8555,1168,29496
99/6,350428,,,,,774,5279,1019,47852
102/3,419736,,,,,118,11134,790,60685
102/6,424920,,,,,160,10366,941,61345
99/12,372673,,,,,536,9049,824,44984
99/3,348860,,,,,1192,6227,736,48588
104/12,507689,,,,,95990,11606,742,56721
102/9,434262,,,,,176,14565,965,58611
105/6,515167,94886,17590,685,58466,,,,
97/6,365366,,,,,799,8416,955,58146
95/3,336426,,,,,1506,8381,1514,19880
107/3,574078,73480,19202,954,68029,,,,
99/9,366953,,,,,721,9143,554,47336
109/12,748176,124910,15593,1013,85936,,,,
101/9,409877,,,,,51,12096,1364,55181
100/12,406660,,,,,900,9564,660,51229
104/9,511090,,,,,121735,16233,768,58476
96/9,373998,,,,,430,7485,1155,41817
102/12,438793,,,,,408,10680,797,59051
106/9,539768,83597,17763,910,68770,,,,
94/9,317818,,,,,899,9381,1556,19364
110/9,804995,129221,24394,1906,87925,,,,
110/6,799139,118953,22410,1866,88575,,,,
111/12,829282,145120,19222,2769,99416,,,,
110/3,778892,113774,21556,1248,91859,,,,
111/3,832235,126593,25126,2329,96350,,,,
96/3,357423,,,,,663,8111,1318,33182
111/6,817884,137702,22426,2683,99198,,,,
106/6,537559,98058,16786,842,67795,,,,
94/6,297457,,,,,832,10361,1545,17317
101/3,399054,,,,,413,10777,830,51239
111/9,834194,138503,23429,1734,104570,,,,
98/12,347590,,,,,1042,5496,772,51320
97/12,365640,,,,,998,6263,505,46338
112/9,913064,153353,25679,1331,103222,,,,
104/6,504614,,,,,118766,18557,631,59486
96/6,368019,,,,,304,7337,1194,37346
101/6,402343,,,,,472,9135,1183,54065
94/3,296166,,,,,880,9906,1584,16261
106/3,539546,95300,16853,949,63173,,,,
112/3,875392,142682,28123,1384,100449,,,,
101/12,407524,,,,,68,9660,771,57129
112/6,880892,155601,24275,1401,101569,,,,
