時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,3794404,,,,,488918,52473,37162,401200
93/3,2465537,,,,,228531,60863,24838,17204
103/9,4528739,,,,,1743226,90394,37067,538361
93/12,2492063,,,,,188848,57665,29028,19769
104/3,4433129,,,,,1850764,82325,30223,559401
105/12,4771455,1640728,75685,28936,606785,,,,
98/3,3622546,,,,,397470,58458,37779,354901
103/6,4369980,,,,,1790079,79525,32507,533181
94/12,2564253,,,,,230335,54556,24357,22820
105/9,4838994,1614531,75012,31973,567841,,,,
97/9,3279423,,,,,327642,65578,53941,369436
103/3,4320406,,,,,1631051,81910,38776,533932
98/6,3862383,,,,,441418,53083,37935,389101
100/6,3817812,,,,,493805,49235,36229,493859
106/12,4928595,1815125,85040,25419,618391,,,,
100/3,3838465,,,,,515958,44265,41831,488135
103/12,4402604,,,,,1942933,83522,29146,546438
107/9,5089577,1558179,84741,30716,620657,,,,
95/9,2659583,,,,,216431,52496,32561,29814
100/9,3944073,,,,,464374,52767,48468,503451
108/3,5126090,1694936,78390,26694,620331,,,,
97/3,3176239,,,,,331782,63396,37091,360696
105/3,4746074,,,,,1720772,79745,32061,563069
96/12,3087269,,,,,257032,64478,40039,344174
107/12,5046657,1721386,87102,26676,601845,,,,
107/6,5037294,1610542,84355,28365,623380,,,,
95/6,2624725,,,,,214600,50627,27442,25661
95/12,2700182,,,,,197795,51271,28844,32891
99/6,3790893,,,,,575539,45113,35826,435269
102/3,4187837,,,,,469502,74714,36277,536568
102/6,4195364,,,,,548101,76668,42203,532489
99/12,3772114,,,,,545305,43952,35706,458953
99/3,3831202,,,,,555053,45965,37805,435831
104/12,4733150,,,,,1784564,80330,30734,570833
102/9,4273509,,,,,483907,77030,39604,533761
105/6,4768643,1770861,79580,32620,575190,,,,
97/6,3154825,,,,,342637,62683,51440,369371
95/3,2605955,,,,,213198,52752,27889,24557
107/3,4937431,1701160,85271,26425,612320,,,,
99/9,3788741,,,,,569137,42645,42348,463004
101/9,4002938,,,,,574145,72180,41674,523956
100/12,3940555,,,,,390357,71390,43112,505848
104/9,4749044,,,,,1747662,77766,30103,574734
96/9,3044042,,,,,343939,59001,40568,313309
102/12,4251066,,,,,483971,83280,32738,535651
106/9,4881122,1745508,83191,27349,610491,,,,
94/9,2541853,,,,,220889,60054,26593,22687
96/3,2670768,,,,,354070,49542,28770,37190
106/6,4783831,1679216,78738,28416,597874,,,,
94/6,2509823,,,,,203234,60943,26632,21238
101/3,3913636,,,,,409995,70175,42697,499889
98/12,3752775,,,,,599968,50051,38358,427512
97/12,3492260,,,,,350906,60186,40916,326853
104/6,4600066,,,,,1747433,79642,33824,556883
96/6,2720940,,,,,309897,46739,33037,42523
101/6,3928486,,,,,558274,70739,49665,508917
94/3,2471285,,,,,192843,61402,31533,19665
106/3,4773585,1680455,75428,31500,593458,,,,
101/12,4049860,,,,,523383,73486,46719,512857
