時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,1156181,,,,,369366,15204,12164,144817
93/3,994215,,,,,,13395,14405,25104
110/12,2021549,356052,24337,11058,212285,,,,
103/9,1340923,,,,,461723,9197,11397,125384
93/12,1048487,,,,,193529,15157,16193,30578
104/3,1396660,,,,,459781,8725,10568,127582
105/12,1499657,393503,14670,9351,124653,,,,
98/3,1148957,,,,,301664,17216,9821,137569
103/6,1328489,,,,,480056,8658,11683,126961
94/12,1063882,,,,,245621,14466,14190,31006
105/9,1480690,397783,10376,9731,124166,,,,
97/9,1169098,,,,,306229,16919,13198,155925
103/3,1329703,,,,,479589,7741,11637,120582
98/6,1164021,,,,,316734,17084,13444,141576
100/6,1248456,,,,,374296,15348,14577,133617
109/9,1755774,413730,18857,6696,168766,,,,
106/12,1585100,403243,15066,10244,135477,,,,
100/3,1234917,,,,,413066,14680,17367,135396
109/3,1667371,400106,18240,7382,157106,,,,
103/12,1391992,,,,,416987,9074,12391,126850
107/9,1618282,423646,17147,12484,152529,,,,
95/9,1058230,,,,,264985,14041,15744,40370
109/6,1665688,410782,18587,6918,160057,,,,
108/12,1747073,406801,18401,7157,167127,,,,
100/9,1261940,,,,,1285,15132,15357,130163
108/6,1710962,384323,18837,8525,158306,,,,
108/3,1682466,412744,20033,8864,155690,,,,
97/3,1132628,,,,,278429,19171,17277,176011
105/3,1445011,,,,,417009,9911,10457,126288
96/12,1127815,,,,,258708,17714,16000,65921
108/9,1705297,393667,19041,7095,169361,,,,
107/12,1619193,393285,18363,8831,152551,,,,
107/6,1601048,432024,15327,10122,141969,,,,
95/6,1021302,,,,,210015,13995,17013,37273
95/12,1079762,,,,,222214,13415,13939,42760
99/6,1182216,,,,,370125,14527,15004,141627
102/3,1297683,,,,,3359,10005,11504,121541
102/6,1304842,,,,,5233,9892,10761,115988
99/12,1215974,,,,,438992,14535,11666,136918
99/3,1167500,,,,,373810,14813,15611,140446
104/12,1477044,,,,,410869,9129,8030,127155
102/9,1317127,,,,,3037,9281,9611,112281
105/6,1482057,362483,10249,9639,123241,,,,
97/6,1144100,,,,,264635,18839,17218,179648
95/3,984272,,,,,244718,14209,14558,32579
107/3,1614564,421041,15267,10650,144339,,,,
99/9,1200172,,,,,392689,14259,13269,139721
109/12,1791907,388445,20638,8892,174773,,,,
101/9,1258402,,,,,2210,11519,10952,127054
100/12,1268202,,,,,1484,14488,11483,126446
104/9,1434686,,,,,413996,8700,8584,121989
96/9,1107067,,,,,268945,17417,12979,61686
102/12,1325791,,,,,2602,9001,10054,118081
106/9,1537997,367788,16998,10371,128637,,,,
94/9,1000688,,,,,286527,14229,14221,29616
110/9,2010829,384470,24804,10261,209690,,,,
110/6,1856234,400958,21978,9839,207935,,,,
111/12,2071981,430889,22056,8129,218150,,,,
110/3,1786242,411294,21519,10432,198371,,,,
111/3,2026006,400589,24092,11683,220385,,,,
96/3,1040487,,,,,251425,15442,16950,49711
111/6,1984054,421615,25093,11634,218934,,,,
106/6,1522079,388771,16950,10945,120140,,,,
94/6,1035904,,,,,271982,14722,14432,30640
101/3,1279204,,,,,1407,14508,13175,126769
111/9,2019068,431994,24064,10144,223136,,,,
98/12,1196029,,,,,292783,14566,13498,145522
97/12,1171769,,,,,287012,17139,9959,131849
112/9,2189233,501024,27914,9188,225735,,,,
104/6,1393903,,,,,448806,8508,10086,123070
96/6,1105145,,,,,231858,16909,14946,56055
101/6,1260754,,,,,2147,13496,12249,130086
94/3,1019090,,,,,258403,14887,16212,30545
106/3,1512523,389469,14103,8588,122729,,,,
112/3,2082430,449928,24395,8790,223682,,,,
101/12,1291109,,,,,3012,10288,11150,122960
112/6,2089000,508158,25726,8583,224030,,,,
