時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,106863,,,,,51933,9604,253,2279
93/3,58994,,,,,,9834,2116,
103/9,220558,,,,,51496,5035,2009,5853
93/12,73057,,,,,33237,8868,2172,8917
104/3,237212,,,,,55666,5034,1887,5896
105/12,265108,61899,5149,2700,6211,,,,
98/3,119075,,,,,37714,10473,233,5590
103/6,201278,,,,,53902,4098,1935,6892
94/12,113003,,,,,41717,12374,1724,13661
105/9,264922,64720,7845,2327,6224,,,,
97/9,119832,,,,,44848,10621,447,5590
103/3,195013,,,,,54254,3917,1757,6034
98/6,106357,,,,,37430,11099,126,3234
100/6,131409,,,,,46617,4583,298,6915
100/3,131169,,,,,39580,4454,563,6867
103/12,230883,,,,,51837,4831,2944,8204
95/9,104511,,,,,39635,12447,1539,12966
100/9,143863,,,,,45587,4873,277,7330
97/3,125668,,,,,31702,11070,367,6251
105/3,257545,,,,,53269,6578,3082,10044
96/12,116047,,,,,45438,10773,934,9753
95/6,107840,,,,,40741,12961,2356,12966
95/12,111957,,,,,40852,12474,1209,12488
99/6,129375,,,,,41807,6468,456,6568
102/3,165623,,,,,40976,4295,2361,7179
102/6,162712,,,,,40828,4171,1468,7287
99/12,125872,,,,,21559,5426,273,6396
99/3,116122,,,,,41919,7318,487,2279
104/12,251052,,,,,52945,6206,2303,10715
102/9,172718,,,,,47007,4025,1393,8263
105/6,265615,62718,7316,2649,9720,,,,
97/6,124591,,,,,43519,11964,367,5638
95/3,108896,,,,,38040,12446,1626,13661
99/9,123465,,,,,44823,6449,242,6486
101/9,155613,,,,,52102,4433,1074,10184
100/12,150554,,,,,43930,3913,286,7177
104/9,254602,,,,,49852,5125,2281,10263
96/9,101462,,,,,38760,11253,568,10424
102/12,182373,,,,,51742,3804,1727,5531
94/9,103891,,,,,38923,11157,2279,12167
96/3,111093,,,,,39726,12631,1332,12469
94/6,93905,,,,,35270,10760,2535,13354
101/3,153319,,,,,43171,3683,324,6534
98/12,123728,,,,,40636,7679,494,2279
97/12,123976,,,,,43738,8737,163,5590
104/6,234489,,,,,49526,5166,1928,6729
96/6,109111,,,,,41781,11212,235,10624
101/6,152383,,,,,43625,3479,401,8019
94/3,87277,,,,,32652,9663,2142,11315
101/12,154134,,,,,58250,4957,857,12370
