時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
110/12,5548771,1783291,87006,46432,717098,,,,
109/9,5299219,2062787,95464,41088,658191,,,,
109/3,5133263,1989358,87040,38403,638213,,,,
109/6,5162780,1949877,87203,36326,642301,,,,
108/12,5125561,1913889,85888,39579,653306,,,,
108/6,5112138,1811469,83578,28429,640595,,,,
108/9,5204354,1810541,82633,28419,651602,,,,
109/12,5399034,1634487,96960,42810,657837,,,,
110/9,5421513,1981120,92338,49620,713973,,,,
110/6,5505150,1761200,92126,44563,700677,,,,
111/12,6178315,1562995,88933,45913,812536,,,,
110/3,5409929,1926994,94790,42720,698136,,,,
111/3,5600301,1808178,86221,52772,744473,,,,
111/6,5790529,1859389,89326,51421,769458,,,,
111/9,5958673,1780860,93564,50923,816747,,,,
112/9,6180380,2015514,95769,43672,870615,,,,
112/3,6252379,1662474,94015,48667,835591,,,,
112/6,6203649,2098592,93810,42849,858679,,,,
