時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,806563,,,,,1741,16883,8349,197318
110/12,760392,277338,9663,415,197790,,,,
103/9,708587,,,,,260749,6918,2750,170196
104/3,742988,,,,,262641,7134,1780,164657
105/12,802890,259047,7104,1322,159634,,,,
98/3,207968,,,,,998,1178,654,29437
103/6,704517,,,,,250706,6992,2576,165921
105/9,816067,253704,5941,1223,155763,,,,
97/9,239614,,,,,3461,2090,2239,34624
103/3,777986,,,,,253412,8112,2456,168288
98/6,203360,,,,,613,1069,457,29348
100/6,817330,,,,,4610,13128,4764,174721
109/9,805234,264046,8473,332,195089,,,,
106/12,781795,236659,8063,1801,174512,,,,
100/3,775172,,,,,6937,12651,5106,175906
109/3,922322,287698,7858,527,190432,,,,
103/12,727920,,,,,270999,7154,2760,170140
107/9,795002,304949,7693,1242,191255,,,,
109/6,885575,286296,8119,387,190653,,,,
108/12,808653,286671,7384,778,198296,,,,
100/9,818763,,,,,6360,12906,4291,153610
108/6,832885,293299,8143,964,199308,,,,
108/3,794332,291559,8121,692,197618,,,,
97/3,319384,,,,,4269,2831,4088,39385
105/3,799833,,,,,270317,6611,818,164854
108/9,854434,285150,6988,868,199469,,,,
107/12,778863,311395,7893,742,195804,,,,
107/6,804158,293084,7334,1026,182708,,,,
99/6,789630,,,,,2490,15335,8342,193709
102/3,789119,,,,,2567,9919,1858,155056
102/6,791223,,,,,9209,10051,2463,159049
99/12,796634,,,,,7033,14014,9204,188838
99/3,761482,,,,,1654,16782,4711,193518
104/12,771212,,,,,286810,7663,864,169964
102/9,747641,,,,,1732,9547,2461,158331
105/6,814762,271251,6096,1574,160502,,,,
97/6,309988,,,,,3546,2718,3653,36860
107/3,821337,274250,7397,785,172357,,,,
99/9,790315,,,,,5214,13972,5855,181681
109/12,849483,272700,8688,272,198818,,,,
101/9,799874,,,,,3558,10126,2080,140556
100/12,815160,,,,,11632,12598,2792,142263
104/9,812974,,,,,277623,7163,846,167569
102/12,750089,,,,,6488,9280,2850,161926
106/9,793295,225853,7772,1106,170869,,,,
110/9,841540,258849,8216,570,206063,,,,
110/6,860543,263747,8057,660,208109,,,,
111/12,803831,300002,12752,877,236034,,,,
110/3,846867,258346,7921,838,210967,,,,
111/3,831367,271805,8852,479,216702,,,,
111/6,850128,322206,9497,378,224367,,,,
106/6,790973,226849,7163,1090,166268,,,,
101/3,827209,,,,,3368,11390,2568,137554
111/9,816974,290884,10132,458,240311,,,,
98/12,716836,,,,,1999,16743,6667,200732
97/12,227879,,,,,1345,1615,1029,29936
112/9,518343,273120,10192,667,3308,,,,
104/6,744987,,,,,252874,6917,2471,165084
101/6,807385,,,,,5521,10375,2467,135820
106/3,839424,332034,6807,893,158637,,,,
112/3,804969,312634,13048,961,240397,,,,
101/12,811833,,,,,9036,10119,1737,148154
112/6,801797,313930,10282,721,243684,,,,
