時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
93/3,259331,,,,,,10246,8474,5300
93/12,258846,,,,,4469,7165,5710,8053
94/12,270184,,,,,4291,5508,5873,13799
95/9,278663,,,,,7918,4940,6899,20394
95/6,270470,,,,,5418,5196,6901,18335
95/12,278119,,,,,7768,4876,6085,24040
95/3,268971,,,,,4793,5135,6471,15765
96/9,253541,,,,,4219,3672,5383,36204
94/9,261966,,,,,4156,5998,6324,11594
96/3,272951,,,,,4294,4226,6701,27577
94/6,267759,,,,,3911,6375,5336,10417
96/6,265002,,,,,4261,4139,6065,32474
94/3,257420,,,,,3925,6426,6664,8725
