時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,1706966,,,,,733308,38305,32764,360817
93/3,1436961,,,,,24993,69612,48273,73660
110/12,3370054,912482,85845,35763,842415,,,,
103/9,2176693,,,,,899414,39086,29808,364800
93/12,1518006,,,,,59692,70138,46205,95335
104/3,2232064,,,,,719372,36394,28127,359534
105/12,2522560,744108,32516,25947,456888,,,,
98/3,1655103,,,,,854676,42781,27221,360308
103/6,2128545,,,,,907863,37578,31122,368269
94/12,1594421,,,,,58473,63979,42821,123418
105/9,2493623,761053,33752,27329,463583,,,,
97/9,1699134,,,,,138438,42677,35413,389910
103/3,2128609,,,,,880257,38507,30130,379693
98/6,1674357,,,,,791428,41666,31331,355965
100/6,1872196,,,,,704346,40461,35790,373584
109/9,2888927,902534,58975,23836,876317,,,,
106/12,2525364,694831,34523,27154,471515,,,,
100/3,1813594,,,,,685562,39654,42551,373584
109/3,2725171,808582,47686,25233,792618,,,,
103/12,2216203,,,,,918283,37430,27852,369569
107/9,2618585,726395,,30124,489368,,,,
95/9,1619606,,,,,57047,60357,46661,143345
109/6,2807776,815617,52515,25143,813587,,,,
108/12,2678196,778016,42699,24052,803047,,,,
100/9,1920886,,,,,712300,42697,38623,363199
108/6,2621601,770395,39875,25174,641816,,,,
108/3,2602925,772221,,27736,566708,,,,
97/3,1635382,,,,,145000,50675,43179,402257
105/3,2366306,,,,,779954,33693,28416,422554
96/12,1628075,,,,,37336,53365,38944,232899
108/9,2625204,774133,42057,26241,749971,,,,
107/12,2643977,740069,,26944,536456,,,,
107/6,2589196,715476,35930,27976,480317,,,,
95/6,1580022,,,,,56798,59597,44504,143159
95/12,1614766,,,,,47245,58517,44088,155956
99/6,1755666,,,,,649363,40806,42771,366636
102/3,2036483,,,,,709965,34805,31608,376326
102/6,2047809,,,,,719127,36044,26966,390563
99/12,1834443,,,,,680068,40669,37990,383036
99/3,1734952,,,,,654016,38766,42270,345428
104/12,2325981,,,,,747430,33560,25521,401274
102/9,2106012,,,,,704249,34821,27808,386071
105/6,2461167,792856,34707,26250,450337,,,,
97/6,1619077,,,,,147374,44334,43653,420476
95/3,1574138,,,,,56136,60963,45886,128952
107/3,2540840,737341,34513,28197,489204,,,,
99/9,1800736,,,,,647450,41666,40587,358278
109/12,3068787,836138,63665,28751,853347,,,,
101/9,1976160,,,,,765266,37430,32030,376133
100/12,1938398,,,,,722503,40799,31617,365037
104/9,2305219,,,,,712656,34228,25947,369719
96/9,1650614,,,,,37155,55149,42132,222946
102/12,2121502,,,,,716904,36587,29821,381981
106/9,2523031,712062,35227,27932,466856,,,,
94/9,1534643,,,,,58001,63986,47552,120463
110/9,3306064,870247,81189,35106,843171,,,,
110/6,3207256,864791,69749,35211,850437,,,,
111/12,3559643,1060583,92559,27809,903016,,,,
110/3,3212139,846612,68758,33979,865501,,,,
111/3,3467173,932495,89628,44373,856198,,,,
96/3,1596284,,,,,40253,56872,42371,174711
111/6,3560221,977223,97071,36586,885894,,,,
106/6,2487870,751191,33768,24991,463591,,,,
94/6,1509274,,,,,60135,65431,42487,98704
101/3,1951868,,,,,719661,39426,36765,370100
111/9,3561875,1059104,96951,29815,870058,,,,
98/12,1773592,,,,,724926,38897,37542,348702
97/12,1679920,,,,,132695,42901,25314,337892
112/9,3717064,1135135,103466,33594,1107287,,,,
104/6,2231441,,,,,723285,34506,25930,360225
96/6,1626158,,,,,39534,56374,42305,208504
101/6,1976666,,,,,764275,38450,32522,381260
94/3,1512659,,,,,61417,69295,48739,96577
106/3,2513425,722502,32104,27433,473945,,,,
112/3,3596091,995053,100563,35274,934877,,,,
101/12,2026167,,,,,720810,37055,30465,368304
112/6,3647731,1119106,99836,29620,994516,,,,
