時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,106503,,,,,20900,929,118,10823
93/3,78907,,,,,,1276,131,1398
110/12,164860,41728,273,19,47424,,,,
103/9,123646,,,,,29870,483,536,16328
93/12,82506,,,,,15000,1270,140,1776
104/3,128340,,,,,32447,405,680,19503
105/12,146724,35365,191,873,27789,,,,
98/3,112083,,,,,20449,857,116,8803
103/6,127667,,,,,27190,527,726,15694
94/12,84335,,,,,12661,812,167,1509
105/9,148832,36102,190,657,26657,,,,
97/9,106841,,,,,21834,1342,351,8849
103/3,122063,,,,,30816,688,785,14775
98/6,106150,,,,,17734,827,184,9816
100/6,122122,,,,,31479,486,1144,12059
109/9,150237,32064,355,82,34645,,,,
106/12,140880,24730,261,538,29609,,,,
100/3,120779,,,,,32092,554,857,15030
109/3,140471,27018,242,139,32447,,,,
103/12,124900,,,,,32469,449,596,19469
107/9,142857,28344,273,383,34492,,,,
95/9,95334,,,,,17186,910,86,4318
109/6,146752,30066,362,224,34680,,,,
108/12,142413,27434,247,188,31352,,,,
100/9,122187,,,,,32258,269,821,13058
108/6,141435,28157,248,289,30273,,,,
108/3,142414,29865,245,413,32959,,,,
97/3,107687,,,,,18700,1021,371,8582
105/3,137647,,,,,38031,432,509,24010
96/12,103845,,,,,16510,927,390,9432
108/9,142028,30721,257,294,29978,,,,
107/12,139448,27558,247,336,34190,,,,
107/6,141128,25358,327,377,32553,,,,
95/6,85209,,,,,16480,702,90,3243
95/12,97436,,,,,19377,920,150,5731
99/6,110055,,,,,29541,829,797,12812
102/3,125886,,,,,37866,772,474,13939
102/6,124990,,,,,36127,764,867,14393
99/12,116994,,,,,32366,660,680,14530
99/3,106158,,,,,25793,936,378,11238
104/12,135518,,,,,38143,421,592,21873
102/9,122356,,,,,34145,712,814,14410
105/6,141268,36287,261,651,25202,,,,
97/6,106315,,,,,20994,870,312,8102
95/3,82048,,,,,13389,735,126,2529
107/3,141629,24420,260,553,30811,,,,
99/9,116491,,,,,31238,509,969,13729
109/12,153902,34016,263,80,37885,,,,
101/9,126763,,,,,37789,681,552,13559
100/12,124391,,,,,35775,671,345,13217
104/9,131397,,,,,38426,418,627,20431
96/9,104471,,,,,16203,814,147,10832
102/12,119845,,,,,32903,649,395,14087
106/9,142038,30226,169,492,29415,,,,
94/9,83279,,,,,16452,898,109,2122
110/9,162114,43911,249,68,50035,,,,
110/6,161329,39441,249,85,47268,,,,
111/12,184897,43072,76,,59726,,,,
110/3,154004,35817,249,232,44343,,,,
111/3,174086,44622,261,8,51362,,,,
96/3,97558,,,,,19022,921,255,7775
111/6,175536,47050,176,4,54142,,,,
106/6,144788,31854,184,523,27913,,,,
94/6,82920,,,,,16662,1000,108,1893
101/3,123855,,,,,35795,716,644,13492
111/9,184839,43804,76,46,57541,,,,
98/12,106993,,,,,23341,656,398,10967
97/12,109694,,,,,19978,1371,59,8025
112/9,205725,42653,139,75,73209,,,,
104/6,134801,,,,,35871,359,392,20169
96/6,105849,,,,,16033,1019,126,9749
101/6,124503,,,,,35760,656,508,13818
94/3,82981,,,,,16570,1067,136,1994
106/3,145580,34313,184,714,27176,,,,
112/3,190368,41413,101,50,61905,,,,
101/12,128304,,,,,37957,706,581,14346
112/6,197746,42905,154,75,68594,,,,
