時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,142771,,,,,51785,603,133,28746
93/3,251312,,,,,,7251,312,11609
103/9,167860,,,,,83190,1128,228,36271
93/12,253795,,,,,91384,5362,365,15190
98/3,160726,,,,,65960,708,164,27316
103/6,168660,,,,,83690,1520,260,34894
94/12,256193,,,,,86570,4436,512,21235
97/9,168249,,,,,68964,572,293,30833
103/3,171403,,,,,83456,1709,221,34397
98/6,150185,,,,,55538,617,87,27956
100/6,136696,,,,,30182,400,244,32388
100/3,135674,,,,,29376,452,116,31476
103/12,167097,,,,,84033,990,362,36651
95/9,248438,,,,,75763,3270,547,30463
100/9,140151,,,,,30426,500,230,32592
97/3,196430,,,,,70392,707,331,36828
96/12,206551,,,,,70572,731,294,41126
95/6,254753,,,,,78488,1634,708,27252
95/12,251271,,,,,74048,1788,589,34884
99/6,133107,,,,,28999,269,124,31659
102/3,161542,,,,,32294,406,241,31737
102/6,163105,,,,,31997,706,236,31678
99/12,129015,,,,,28707,412,238,31316
99/3,136041,,,,,34137,634,137,30511
102/9,167063,,,,,32461,1052,204,32249
97/6,175608,,,,,69637,695,293,32789
95/3,255166,,,,,83199,4102,333,23408
99/9,133679,,,,,28896,423,158,30838
101/9,148983,,,,,30800,466,405,31525
100/12,140131,,,,,30457,439,167,31905
96/9,187110,,,,,71770,739,371,43097
102/12,168524,,,,,32419,1651,186,33357
94/9,257999,,,,,90236,4101,856,19888
96/3,237751,,,,,74023,1855,472,39106
94/6,255330,,,,,92863,4793,569,17262
101/3,141834,,,,,30828,317,244,31485
98/12,136355,,,,,41035,584,216,29993
97/12,162937,,,,,66611,692,145,27627
96/6,205320,,,,,72968,830,254,42485
101/6,144984,,,,,30898,491,401,31732
94/3,250956,,,,,94419,4734,593,16043
101/12,154452,,,,,31524,399,213,31491
