時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,346792,,,,,12048,13539,1742,39881
93/3,226811,,,,,,17419,3170,20204
110/12,723757,194898,25903,1427,91965,,,,
103/9,512578,,,,,97631,17385,1041,59636
93/12,258676,,,,,995,11714,2983,19323
104/3,536329,,,,,108944,15549,795,60374
105/12,565824,151284,15278,461,58174,,,,
98/3,344106,,,,,8663,15960,1290,36182
103/6,506806,,,,,100219,16389,631,58684
94/12,307278,,,,,1400,15489,2189,24061
105/9,557651,143807,21644,334,57017,,,,
97/9,351320,,,,,223794,24401,1978,40240
103/3,494069,,,,,107931,14397,593,57546
98/6,334484,,,,,8986,15851,1367,37572
100/6,419490,,,,,8563,8601,2235,64900
109/9,667709,180831,27612,688,78095,,,,
106/12,578161,149477,16509,945,59980,,,,
100/3,414809,,,,,17844,8426,2402,63826
109/3,679174,173693,21251,517,71510,,,,
103/12,523284,,,,,110378,14469,492,60977
107/9,634408,148628,22418,886,67026,,,,
95/9,337007,,,,,205785,23443,3734,30775
109/6,654370,177640,21490,1122,73383,,,,
108/12,656704,173154,23871,830,74444,,,,
100/9,426442,,,,,7606,8546,2108,69176
108/6,634887,162882,22756,978,71948,,,,
108/3,633491,164200,21808,587,68188,,,,
97/3,367821,,,,,269896,23492,2835,43485
105/3,537007,,,,,118745,15751,471,57378
96/12,360972,,,,,263438,22185,2834,42105
108/9,637281,164213,21828,1085,73880,,,,
107/12,629513,162932,18600,672,67979,,,,
107/6,609132,151021,22265,1157,62324,,,,
95/6,333019,,,,,168475,19547,2752,28085
95/12,343953,,,,,215323,22919,4039,32099
99/6,361608,,,,,8629,11603,1764,45795
102/3,466829,,,,,10211,12488,751,52980
102/6,485210,,,,,8804,12722,444,53676
99/12,419763,,,,,15243,9208,1494,53386
99/3,364061,,,,,12251,11032,1852,44061
104/12,547555,,,,,110447,16336,766,58156
102/9,491390,,,,,11005,11745,686,54696
105/6,551548,115622,19186,292,58029,,,,
97/6,364102,,,,,264454,24587,2642,43525
95/3,321751,,,,,178678,18017,3042,25927
107/3,597793,147496,21308,974,59823,,,,
99/9,390934,,,,,15346,10536,1778,53260
109/12,681523,191595,26592,1130,78856,,,,
101/9,455884,,,,,7495,10832,860,49428
100/12,438113,,,,,7507,8972,1060,67784
104/9,547643,,,,,112307,15347,975,57901
96/9,362351,,,,,244195,23285,2957,42294
102/12,495839,,,,,10907,12357,1030,55654
106/9,567519,143188,16322,685,58846,,,,
94/9,301115,,,,,1318,13582,3557,22843
110/9,703777,164653,24049,1302,90680,,,,
110/6,699584,165583,23755,1367,84212,,,,
111/12,741309,222921,15353,525,92661,,,,
110/3,679031,175467,25132,1087,81975,,,,
111/3,729032,189206,21886,1662,93642,,,,
96/3,349828,,,,,226023,22344,3779,34025
111/6,758268,212070,18939,1159,92582,,,,
106/6,574375,151126,14331,564,59881,,,,
94/6,278314,,,,,1718,11698,2447,19763
101/3,444080,,,,,8091,8918,2153,67218
111/9,752090,203736,17975,1590,93320,,,,
98/12,379471,,,,,12234,11734,1508,43932
97/12,361737,,,,,8845,16161,1708,35376
112/9,798351,246533,12235,1091,102337,,,,
104/6,540123,,,,,103297,15011,628,59682
96/6,354800,,,,,236750,23741,2995,38014
101/6,449598,,,,,6833,11150,1382,48971
94/3,258857,,,,,1020,13927,3713,19207
106/3,600223,153611,15022,576,60365,,,,
112/3,768160,223438,14525,837,96172,,,,
101/12,464496,,,,,9981,11623,766,50054
112/6,788515,234835,12158,1237,98764,,,,
