時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,221405,,,,,50473,5294,661,34513
93/3,158988,,,,,,4397,1739,2854
110/12,654579,99305,4154,969,73034,,,,
103/9,310893,,,,,60523,2622,1114,46219
93/12,173013,,,,,205983,3757,1115,4997
104/3,337519,,,,,62541,2346,825,49311
105/12,397451,78569,2574,708,52281,,,,
98/3,225870,,,,,50494,6580,288,37292
103/6,307928,,,,,55902,2470,725,47704
94/12,253971,,,,,219150,3742,768,8352
105/9,389320,74315,2904,997,52657,,,,
97/9,238278,,,,,53211,8926,898,43761
103/3,299873,,,,,54255,2587,765,40844
98/6,221230,,,,,48356,5407,339,33739
100/6,240630,,,,,49941,2306,797,35251
109/9,580154,106739,3192,457,73181,,,,
106/12,438804,86289,2598,740,58665,,,,
100/3,238668,,,,,52328,3276,641,33874
109/3,542244,97003,3624,631,66867,,,,
103/12,329017,,,,,67585,2197,773,51027
107/9,474085,88482,3496,835,66064,,,,
95/9,248484,,,,,295299,3539,740,13648
109/6,559886,100615,3075,532,66770,,,,
108/12,524545,99385,3314,560,67580,,,,
100/9,242012,,,,,48533,2104,971,35305
108/6,499851,92166,3159,611,67291,,,,
108/3,487926,88630,3594,920,65645,,,,
97/3,239493,,,,,55514,8664,1218,49181
105/3,370030,,,,,73263,3049,513,50816
96/12,244797,,,,,58308,8695,1279,24419
108/9,512065,93648,3362,536,66308,,,,
107/12,473628,91542,3594,887,67642,,,,
107/6,474944,92490,3884,1165,69949,,,,
95/6,239508,,,,,283855,3683,758,11849
95/12,254277,,,,,308267,3479,1077,16078
99/6,236137,,,,,48277,3092,962,37251
102/3,269203,,,,,54656,2254,838,38488
102/6,281177,,,,,51790,2221,1021,38657
99/12,234599,,,,,50519,3089,957,32872
99/3,225366,,,,,53102,4625,918,39738
104/12,362246,,,,,70988,2857,590,51619
102/9,280354,,,,,54748,2639,683,38998
105/6,381747,75142,2958,746,53733,,,,
97/6,229493,,,,,54927,10843,934,54496
95/3,234913,,,,,273839,3792,1065,10394
107/3,464084,90192,3403,894,67803,,,,
99/9,235298,,,,,49716,4671,672,35452
109/12,605699,102088,3472,621,68440,,,,
101/9,257223,,,,,50764,2475,439,36104
100/12,249606,,,,,45075,1961,902,35361
104/9,343969,,,,,67335,2648,684,50569
96/9,249964,,,,,63306,6916,811,24054
102/12,292872,,,,,57127,2560,672,39609
106/9,425143,88280,2571,659,55835,,,,
94/9,189688,,,,,211275,3052,772,7345
110/9,633629,100832,2868,621,71060,,,,
110/6,618550,100609,2890,1036,70485,,,,
111/12,675759,93629,4405,725,76447,,,,
110/3,613358,101778,3329,578,71170,,,,
111/3,658053,106782,3937,568,74041,,,,
96/3,253989,,,,,61397,4189,1124,19573
111/6,659200,99432,3755,791,73846,,,,
106/6,420064,81907,2737,616,54708,,,,
94/6,182056,,,,,209472,3489,999,6634
101/3,255973,,,,,47955,2128,590,34932
111/9,645628,101834,3706,466,74564,,,,
98/12,224548,,,,,53343,3552,675,35340
97/12,238212,,,,,53435,5888,237,38546
112/9,704912,102385,4647,635,73422,,,,
104/6,340703,,,,,63077,2780,416,52197
96/6,256469,,,,,61331,6405,935,22892
101/6,254637,,,,,49195,2412,684,35948
94/3,177168,,,,,206711,3514,1068,5533
106/3,407233,80158,2902,824,53319,,,,
112/3,694933,97672,3442,487,73423,,,,
101/12,265127,,,,,51827,2239,634,36771
112/6,695238,103014,4008,349,72650,,,,
