時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,182155,,,,,9395,5539,1569,19279
93/3,160481,,,,,2416,8080,1871,8112
103/9,259180,,,,,71425,3832,1690,18795
93/12,151889,,,,,4565,5040,1324,8799
104/3,266977,,,,,71929,5391,1868,19125
105/12,256283,65122,2905,1220,20336,,,,
98/3,182660,,,,,8278,6269,1176,17907
103/6,249090,,,,,69942,4057,1951,19168
94/12,153537,,,,,7749,5655,1043,9692
105/9,256238,62872,3070,1306,19913,,,,
97/9,175969,,,,,8758,5514,1264,18885
103/3,236171,,,,,73726,4150,1354,19128
98/6,176020,,,,,8221,7705,1089,18613
100/6,213658,,,,,6951,4225,1343,19036
106/12,263403,56414,2903,1342,20938,,,,
100/3,214835,,,,,8723,4804,1728,18758
103/12,269114,,,,,69875,5504,1378,19112
107/9,270059,50014,3172,1686,23594,,,,
95/9,146097,,,,,9874,5538,1446,12022
100/9,217511,,,,,8249,4104,1636,18871
108/3,264627,54232,3293,1768,24698,,,,
97/3,156282,,,,,9920,5645,2692,17663
105/3,251692,,,,,69220,3246,1442,20099
96/12,156853,,,,,9575,5799,2345,17595
107/12,267982,53463,3491,1398,23970,,,,
107/6,273479,51522,2998,1290,23073,,,,
95/6,145916,,,,,9547,5452,1193,11643
95/12,146952,,,,,10050,5272,1643,12504
99/6,197966,,,,,9784,6634,1501,19524
102/3,219538,,,,,13314,4862,1771,19587
102/6,222948,,,,,13294,4249,1700,19593
99/12,214963,,,,,9802,4366,1902,18500
99/3,194282,,,,,10311,7636,1446,19779
104/12,263094,,,,,69060,5162,1077,19394
102/9,229037,,,,,12114,4223,1285,18907
105/6,251116,64495,3136,1055,20189,,,,
97/6,162046,,,,,9264,5483,2492,19012
95/3,148045,,,,,8989,5423,1280,10525
107/3,266877,56515,3120,1800,21199,,,,
99/9,202572,,,,,10838,4514,1221,19326
101/9,215007,,,,,9258,4488,1320,20335
100/12,223920,,,,,8090,4469,1306,19100
104/9,266315,,,,,66845,5111,1305,19089
96/9,152523,,,,,10207,5747,1910,16142
102/12,234526,,,,,11788,4129,1358,19034
106/9,254187,56437,2833,1301,21186,,,,
94/9,154068,,,,,5065,5155,1310,8613
96/3,150474,,,,,11571,5340,1944,13075
106/6,246067,57648,2916,1350,20874,,,,
94/6,148294,,,,,4481,4976,1266,8370
101/3,218472,,,,,9048,4393,1683,19171
98/12,186130,,,,,9504,8045,1479,19568
97/12,183949,,,,,8613,5980,755,17383
104/6,261882,,,,,67473,5298,1348,19318
96/6,151009,,,,,11523,4689,2558,14951
101/6,219310,,,,,9089,4157,1443,19601
94/3,150447,,,,,4502,4617,1560,8246
106/3,248454,71268,2672,1399,20642,,,,
101/12,221136,,,,,9871,4995,1841,20168
