時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
110/12,284037,47559,4996,966,25141,,,,
109/9,269231,44943,3839,1292,23173,,,,
109/3,263740,47599,3960,1216,22780,,,,
109/6,271531,45255,3760,1078,23125,,,,
108/12,270717,50940,3919,1407,23804,,,,
108/6,266426,54934,3674,1286,24379,,,,
108/9,269221,51626,3907,1152,23398,,,,
109/12,276227,51154,4169,1384,23512,,,,
110/9,281919,46197,4393,1617,25065,,,,
110/6,284150,49059,4409,1750,25220,,,,
111/12,279141,55847,4834,1160,27751,,,,
110/3,273479,53936,4320,1738,24352,,,,
111/3,274518,52230,5214,1963,26536,,,,
111/6,274552,50663,5055,762,26222,,,,
111/9,275214,55937,4586,956,26104,,,,
112/9,294474,77988,5543,982,29974,,,,
112/3,280767,60893,4643,1306,29138,,,,
112/6,290990,64119,5456,1526,30899,,,,
