,代號,名稱,年月,股本--金融機構,資產--金融機構,權益--金融機構,稅前損益--金融機構,授信總額--金融機構,存款--金融機構,放款--金融機構,權益比率--金融機構,資產報酬率(稅前)--金融機構,存放比率--金融機構,催收款--金融機構,逾期放款--金融機構,甲類逾期放款--金融機構,乙類逾期放款--金融機構,放款(含催收款)--金融機構,逾放比率--金融機構,備抵呆帳--金融機構,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產
0,2801,彰銀,2002-12-01,36095,1217835,44056,0.0,843897,973605,723879,3.62,-2.02,74.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215828.0,20738.0,31668.0,19091.0,22719.0
1,2801,彰銀,2003-03-01,36095,1204712,45505,0.0,815145,955847,699541,3.78,0.0,73.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1203501.0,21524.0,31117.0,23421.0,26740.0
2,2801,彰銀,2003-06-01,36095,1239810,54660,0.0,838674,961840,725375,4.41,0.0,75.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1238929.0,22019.0,31324.0,18915.0,31555.0
3,2801,彰銀,2003-09-01,36095,1256508,55751,0.0,821832,977654,707302,4.44,0.0,72.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1255743.0,26080.0,33242.0,22529.0,34655.0
4,2801,彰銀,2003-12-01,49595,1347864,74874,0.0,883736,1011542,773240,5.56,0.22,76.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1346448.0,26996.0,33434.0,27348.0,43066.0
5,2801,彰銀,2004-03-01,49595,1311218,75256,0.0,903149,1007487,789345,5.74,0.0,78.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1309730.0,28226.0,33817.0,29924.0,43753.0
6,2801,彰銀,2004-06-01,49595,1344529,74333,0.0,926832,1003327,819633,5.53,0.0,81.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1343012.0,29898.0,33313.0,33434.0,47613.0
7,2801,彰銀,2004-09-01,49595,1302812,74780,0.0,928063,1019430,820458,5.74,0.0,80.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1301587.0,40942.0,32428.0,35844.0,42094.0
8,2801,彰銀,2004-12-01,49595,1324882,75280,1704.0,929196,1027401,825015,5.68,0.13,80.3,65162.0,34451.0,0.0,0.0,0.0,3.87,10883.0,1322106.0,51635.0,32076.0,34320.0,46491.0
9,2801,彰銀,2005-03-01,49595,1275500,75502,437.0,904056,1015857,802730,5.92,0.03,79.02,62821.0,33255.0,0.0,0.0,0.0,3.84,11190.0,1274229.0,50872.0,32716.0,35691.0,48757.0
10,2801,彰銀,2005-06-01,49595,1268692,65205,-11127.0,907586,1020657,819086,5.14,-0.88,80.25,47628.0,30375.0,0.0,0.0,0.0,3.5,11130.0,1267756.0,52485.0,34388.0,31919.0,50832.0
11,2801,彰銀,2005-09-01,49595,1275471,61662,-14717.0,926526,1022050,835049,4.83,-1.15,81.7,47281.0,47672.0,44993.0,2679.0,882330.0,5.4,15793.0,1274017.0,69680.0,36610.0,33712.0,52583.0
12,2801,彰銀,2005-12-01,63595,1336028,64932,-48002.0,892495,1048288,834050,4.86,-3.59,79.56,14086.0,14127.0,12813.0,1314.0,848135.0,1.67,14105.0,1333875.0,77986.0,37704.0,29764.0,53432.0
13,2801,彰銀,2006-03-01,63595,1307406,80582,3624.0,896751,1031288,840939,6.16,0.28,81.54,13812.0,15502.0,13088.0,2414.0,854751.0,1.81,14178.0,1338592.0,79024.0,35518.0,31373.0,55202.0
14,2801,彰銀,2006-06-01,63595,1313855,82838,6618.0,915340,1028732,858562,6.3,0.5,83.46,13271.0,15113.0,13547.0,1565.0,871834.0,1.73,13017.0,1313855.0,135281.0,36320.0,30905.0,61051.0
15,2801,彰銀,2006-09-01,62095,1352088,81119,10273.0,883662,1048555,827312,6.0,0.76,78.9,13108.0,15020.0,12859.0,2161.0,840420.0,1.79,11972.0,1352087.0,151227.0,35601.0,30853.0,64318.0
16,2801,彰銀,2006-12-01,62095,1366415,85500,14693.0,917562,1060496,861425,6.26,1.08,81.23,13721.0,14300.0,12904.0,1395.0,875145.0,1.63,11687.0,1366415.0,136009.0,35434.0,28094.0,68896.0
17,2801,彰銀,2007-03-01,62095,1358125,85363,3146.0,915235,1069571,859251,6.29,0.23,80.34,15658.0,16898.0,13302.0,3596.0,874909.0,1.93,11573.0,1358125.0,142197.0,34379.0,30943.0,75430.0
