代號,名稱,年月,股本--金融機構,資產--金融機構,權益--金融機構,稅前損益--金融機構,授信總額--金融機構,存款--金融機構,放款--金融機構,權益比率--金融機構,資產報酬率(稅前)--金融機構,存放比率--金融機構,催收款--金融機構,逾期放款--金融機構,甲類逾期放款--金融機構,乙類逾期放款--金融機構,放款(含催收款)--金融機構,逾放比率--金融機構,備抵呆帳--金融機構
2801,彰銀,2002/12,"36,095","1,217,835","44,056",0,"843,897","973,605","723,879",3.62,-2.02,74.35,0,0,0,0,0,0,0
2801,彰銀,2003/03,"36,095","1,204,712","45,505",0,"815,145","955,847","699,541",3.78,0,73.19,0,0,0,0,0,0,0
2801,彰銀,2003/06,"36,095","1,239,810","54,660",0,"838,674","961,840","725,375",4.41,0,75.42,0,0,0,0,0,0,0
2801,彰銀,2003/09,"36,095","1,256,508","55,751",0,"821,832","977,654","707,302",4.44,0,72.35,0,0,0,0,0,0,0
2801,彰銀,2003/12,"49,595","1,347,864","74,874",0,"883,736","1,011,542","773,240",5.56,0.22,76.44,0,0,0,0,0,0,0
2801,彰銀,2004/03,"49,595","1,311,218","75,256",0,"903,149","1,007,487","789,345",5.74,0,78.35,0,0,0,0,0,0,0
2801,彰銀,2004/06,"49,595","1,344,529","74,333",0,"926,832","1,003,327","819,633",5.53,0,81.69,0,0,0,0,0,0,0
2801,彰銀,2004/09,"49,595","1,302,812","74,780",0,"928,063","1,019,430","820,458",5.74,0,80.48,0,0,0,0,0,0,0
2801,彰銀,2004/12,"49,595","1,324,882","75,280","1,704","929,196","1,027,401","825,015",5.68,0.13,80.3,"65,162","34,451",0,0,0,3.87,"10,883"
2801,彰銀,2005/03,"49,595","1,275,500","75,502",437,"904,056","1,015,857","802,730",5.92,0.03,79.02,"62,821","33,255",0,0,0,3.84,"11,190"
2801,彰銀,2005/06,"49,595","1,268,692","65,205","-11,127","907,586","1,020,657","819,086",5.14,-0.88,80.25,"47,628","30,375",0,0,0,3.5,"11,130"
